	Pf_antigen_ID	weight
391	PF3D7_1115900.iso1.exon2.amp1_4360	-0.1771825304948985
261	PF3D7_1229000.iso1.exon1.amp2_2206	-0.1690867650124098
916	PF3D7_0514500.iso1.exon6.amp1_1487	-0.10930027150588113
1027	PF3D7_0400100.iso1.exon2.amp1_4192	-0.07460671358221113
827	PF3D7_0632800.iso1.exon1.amp1_4482	-0.03825412290351794
1131	PF3D7_0200200.iso1.exon1.amp1_1284	-0.022608535331965243
601	PF3D7_0832700.iso1.exon2.amp1_2380	-0.009184234424016275
115	PF3D7_1415500.iso1.exon2.amp1_2259	-0.00894969787090504
732	PF3D7_0726400.e1s1_2503	-0.00295971908097301
0	Dose	0.46950324366997903
