	Pf_antigen_ID	weight
3216	PF3D7_1121600.iso1.exon2.amp1_2679	-0.43002688663970806
6909	PF3D7_0223300.iso1.exon2.amp1_3611	-0.32931725835767567
3969	PF3D7_1002100.2o2_2704	-0.2573011755208439
22	PFE1590w_2119	-0.22985901556304114
2642	PF3D7_1213200.1o1_57	-0.22089702421492063
4484	PF3D7_0833300.iso1.exon1.amp1_1870	-0.2007934508120466
3487	PF3D7_1041100.iso1.exon2.amp1_3013	-0.17848786128982186
4798	PF3D7_0808200.e1s1_5118	-0.17648325320907943
4221	PF3D7_0920800.e1s1_251	-0.1589143960767568
3542	PF3D7_1035200.1o1_117	-0.15888622941186142
4504	PF3D7_0831500.iso1.exon2.amp1_2951	-0.13943731879295562
68	PFB0300c_4064	-0.1352016973018978
2687	PF3D7_1209500.iso2.exon2.amp1_3320	-0.11769008410709564
3349	PF3D7_1111800.iso1.exon1.amp1_2132	-0.09480883722878998
6563	PF3D7_0400400.iso1.exon1.amp1_1294	-0.09364081427597623
6223	PF3D7_0425800.iso1.exon2.amp1_4183	-0.05938769157450546
3483	PF3D7_1041300.iso1.exon2.amp2_787	-0.058193391302693256
5005	PF3D7_0726400.e5s1_1866	-0.053906528379835145
1089	PF3D7_1405500.1o1_2703	-0.053221478509424706
6908	PF3D7_0223400.iso1.exon2.amp1_1856	-0.04530867292898574
2075	PF3D7_1300900.iso1.exon1.amp1_4455	-0.040571525578102084
2510	PF3D7_1223800.iso1.exon1.amp1_short_2872	-0.04035947199134249
1145	PF3D7_1401900.iso1.exon4.amp1_3493	-0.038992626879945445
1535	PF3D7_1343800.iso1.exon1.amp4_1088	-0.036092128778520215
4483	PF3D7_0833400.iso1.exon3.amp1_4185	-0.029780523662528428
2265	PF3D7_1240400.iso1.exon2.amp1_1013	-0.02753029317235649
1018	PF3D7_1410400.e1s1_2878	-0.025486144926150197
7096	PF3D7_0207600.e2s1_4137	-0.023175241973373152
2837	PF3D7_1150400.iso1.exon2.amp1_714	-0.017182549592332483
3537	PF3D7_1035800.1o1_452	-0.016594279952297702
6554	PF3D7_0401000.iso1.exon1.amp1_2432	-0.015947031560799466
2081	PF3D7_1300400.iso1.exon2.amp1_1295	-0.006919824108394776
4700	PF3D7_0816700.iso1.exon3.amp1_4095	-0.0016392921745780416
369	PF3D7_1458400.1o1_706	0.013022227153411486
3183	PF3D7_1123200.iso1.exon1.amp1_3335	0.01305463892349417
1125	PF3D7_1403300.e1s2_3828	0.018074792264055107
175	PF3D7_1473000.1o1_4886	0.025084446644232528
5973	PF3D7_0518700.e3s1_3800	0.027898438978681814
7225	PF3D7_0113300.2o2_759	0.04546687694818048
7277	PF3D7_0109100.e2s1_2105	0.09915178883126333
2899	PF3D7_1145400.e1s1_4164	0.12355509218931565
3107	PF3D7_1129000.e2s1_2830	0.14820379960443217
188	PF3D7_1472200.e1s3_5059	0.18835631433753497
4851	PF3D7_0804500.e3_3113	0.19664548101660387
63	PFC0210c_2763	0.4040766679183637
0	Dose	0.5629891986944204
