	params	dataselector__P1	dataselector__P2	dataselector__R0	dataselector__R1	dataselector__R2	dataselector__SA	dataselector__SO	svc__C	iteration0_mcc	iteration0_precision_recall_auc	iteration0_roc_auc	iteration1_mcc	iteration1_precision_recall_auc	iteration1_roc_auc	iteration2_mcc	iteration2_precision_recall_auc	iteration2_roc_auc	iteration3_mcc	iteration3_precision_recall_auc	iteration3_roc_auc	iteration4_mcc	iteration4_precision_recall_auc	iteration4_roc_auc	iteration5_mcc	iteration5_precision_recall_auc	iteration5_roc_auc	iteration6_mcc	iteration6_precision_recall_auc	iteration6_roc_auc	iteration7_mcc	iteration7_precision_recall_auc	iteration7_roc_auc	iteration8_mcc	iteration8_precision_recall_auc	iteration8_roc_auc	iteration9_mcc	iteration9_precision_recall_auc	iteration9_roc_auc	mean_mcc	std_mcc	mean_precision_recall_auc	std_precision_recall_auc	mean_roc_auc	std_roc_auc
0	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.0001}	2.0	2.0	1e-06	X	X	X	X	0.0001	0.0	0.35071751656149486	0.3484848484848485	0.0	0.3375402361900163	0.31565656565656564	0.0	0.3592576370659329	0.35858585858585856	0.0	0.3577144998989	0.3611111111111111	0.0	0.3540102201341125	0.3484848484848485	0.0	0.3613184899146703	0.36868686868686873	0.0	0.34330175815794967	0.3383838383838384	0.0	0.3539357293187649	0.31565656565656564	0.0	0.36915970538212417	0.39141414141414144	0.0	0.38255755667883556	0.40151515151515155	0.0	0.0	0.3569513349302801	0.012690340243950386	0.3547979797979798	0.028251997385249864
1	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.001}	2.0	2.0	1e-06	X	X	X	X	0.001	-0.12309149097933272	0.4190265419470573	0.48737373737373746	-0.12309149097933272	0.38529919157389675	0.43434343434343436	-0.12309149097933272	0.41572078015568303	0.49242424242424254	-0.12309149097933272	0.418825595972681	0.4848484848484849	-0.12309149097933272	0.4171039741577954	0.48484848484848486	-0.12309149097933272	0.4130874783399891	0.4873737373737374	-0.12309149097933272	0.4095320377479288	0.4797979797979798	-0.12309149097933272	0.3830912161862471	0.4368686868686869	-0.12309149097933272	0.4235112455561184	0.4949494949494949	-0.12309149097933272	0.429497716222375	0.5277777777777777	-0.12309149097933272	0.0	0.41146957778597715	0.015375469562125021	0.4810606060606061	0.027386024385517554
2	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.01}	2.0	2.0	1e-06	X	X	X	X	0.01	0.17407765595569785	0.3321257732711544	0.36616161616161613	0.1829534767323246	0.3141633049541986	0.32070707070707066	0.38981938376529196	0.35771351215154573	0.3282828282828283	0.24466854359793086	0.32055826565379425	0.33459595959595967	0.17588161767036212	0.3384484982043603	0.32954545454545453	0.058025885318565944	0.3512931096178668	0.3484848484848485	0.17545378532260508	0.34226828663301195	0.3409090909090909	0.30151134457776363	0.3416530794933206	0.31060606060606055	0.0657951694959769	0.3333860084990665	0.3964646464646464	0.1846372364689991	0.32707317954586	0.36868686868686873	0.19528240989055176	0.09925222579352913	0.33586830180241783	0.013330188604113467	0.34444444444444444	0.02599770334239608
3	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.1}	2.0	2.0	1e-06	X	X	X	X	0.1	0.08206099398622181	0.5378482856170547	0.6035353535353535	0.1846372364689991	0.6924428226095314	0.7032828282828283	0.29292929292929293	0.6604495938187018	0.7196969696969697	0.09090909090909091	0.6217918894206622	0.6313131313131313	0.28721347895177635	0.5960506940258504	0.7121212121212122	0.13723275692966877	0.6282595293897487	0.5934343434343434	0.44219443899559935	0.5933048732544205	0.7196969696969697	0.2465426358859398	0.5438882770850224	0.6515151515151515	0.09090909090909091	0.6229146946252374	0.6212121212121212	0.04528334128517262	0.4682990611296914	0.5833333333333334	0.18999123572508522	0.12556047760591366	0.596524972097592	0.06522998749690934	0.6539141414141414	0.05501873716570488
4	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1.0}	2.0	2.0	1e-06	X	X	X	X	1.0	0.1919191919191919	0.7373661630627297	0.7045454545454546	0.3471722831863234	0.741387023743882	0.75	0.35723524791636174	0.7581718959410598	0.7651515151515151	0.25660560061597815	0.7056748155192354	0.75	0.40201512610368484	0.6915539724379849	0.755050505050505	0.06607503111428496	0.6486170673659831	0.6717171717171717	0.43082021842766455	0.7439213960966412	0.7499999999999999	0.2854496128592251	0.7933032473759598	0.7853535353535354	0.20100756305184242	0.7331814555247762	0.7095959595959596	0.20100756305184242	0.5647616653213845	0.654040404040404	0.27393074382463994	0.1127052188412097	0.7117938702389636	0.06486813756797763	0.7295454545454546	0.04263033820761811
5	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10.0}	2.0	2.0	1e-06	X	X	X	X	10.0	0.2844627935584563	0.5807467085359888	0.6944444444444444	0.2335496832484569	0.6134099944100552	0.7424242424242424	0.3405405449736225	0.6383120739832986	0.7878787878787878	0.28721347895177635	0.5864340543992126	0.7196969696969697	0.3405405449736225	0.6491325017924295	0.7803030303030303	0.28721347895177635	0.5477101240464552	0.6767676767676768	0.44219443899559935	0.6760924397118394	0.7449494949494948	0.3405405449736225	0.6239641347469433	0.7398989898989898	0.3405405449736225	0.5965686600769362	0.6919191919191919	0.2335496832484569	0.5461545936946659	0.6363636363636364	0.31303457368490123	0.06190861072279272	0.6058525285397826	0.04253563348152979	0.7214646464646465	0.04719888450242672
6	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 100.0}	2.0	2.0	1e-06	X	X	X	X	100.0	0.44219443899559935	0.6821769731923368	0.7979797979797979	0.494949494949495	0.6722772201127386	0.797979797979798	0.502518907629606	0.7083454852668408	0.8257575757575757	0.494949494949495	0.6533703596000002	0.7979797979797979	0.502518907629606	0.7173480635625888	0.8282828282828283	0.28721347895177635	0.6913053269543852	0.7626262626262627	0.502518907629606	0.736357195687981	0.7878787878787878	0.494949494949495	0.691017990544714	0.7828282828282828	0.447801930486707	0.6064787294703652	0.7575757575757576	0.44219443899559935	0.6390400156715543	0.7651515151515151	0.4611809495166986	0.06642629871876514	0.6797717360063505	0.03870081711333904	0.7904040404040404	0.024512154509362002
7	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1000.0}	2.0	2.0	1e-06	X	X	X	X	1000.0	0.44219443899559935	0.7304337094867076	0.8257575757575757	0.494949494949495	0.7939576343484591	0.8333333333333333	0.45786489521674534	0.7824104716125289	0.8434343434343434	0.494949494949495	0.7664773978070126	0.8131313131313131	0.502518907629606	0.800969735403215	0.851010101010101	0.28721347895177635	0.7589408138511269	0.7929292929292929	0.502518907629606	0.7898222195453766	0.8080808080808081	0.494949494949495	0.813525943261	0.8207070707070706	0.447801930486707	0.653326402599858	0.7777777777777777	0.44219443899559935	0.7522403281412243	0.8030303030303031	0.45671554827541244	0.06482013559414536	0.7642104656056509	0.04626937257203244	0.816919191919192	0.022657018238543384
8	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10000.0}	2.0	2.0	1e-06	X	X	X	X	10000.0	0.44219443899559935	0.7304337094867076	0.8257575757575757	0.494949494949495	0.7939576343484591	0.8333333333333333	0.45786489521674534	0.7824104716125289	0.8434343434343434	0.494949494949495	0.7664773978070126	0.8131313131313131	0.502518907629606	0.800969735403215	0.851010101010101	0.28721347895177635	0.7589408138511269	0.7929292929292929	0.502518907629606	0.7898222195453766	0.8080808080808081	0.494949494949495	0.813525943261	0.8207070707070706	0.447801930486707	0.653326402599858	0.7777777777777777	0.44219443899559935	0.7522403281412243	0.8030303030303031	0.45671554827541244	0.06482013559414536	0.7642104656056509	0.04626937257203244	0.816919191919192	0.022657018238543384
9	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-05, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.0001}	2.0	2.0	1e-05	X	X	X	X	0.0001	0.0	0.35071751656149486	0.3484848484848485	0.0	0.3375402361900163	0.31565656565656564	0.0	0.3592576370659329	0.35858585858585856	0.0	0.3577144998989	0.3611111111111111	0.0	0.3540102201341125	0.3484848484848485	0.0	0.3613184899146703	0.36868686868686873	0.0	0.34330175815794967	0.3383838383838384	0.0	0.3539357293187649	0.31565656565656564	0.0	0.36915970538212417	0.39141414141414144	0.0	0.38255755667883556	0.40151515151515155	0.0	0.0	0.3569513349302801	0.012690340243950386	0.3547979797979798	0.028251997385249864
