	params	dataselector__P1	dataselector__P2	dataselector__R0	dataselector__R1	dataselector__R2	dataselector__SA	dataselector__SO	svc__C	iteration0_mcc	iteration0_precision_recall_auc	iteration0_roc_auc	iteration1_mcc	iteration1_precision_recall_auc	iteration1_roc_auc	iteration2_mcc	iteration2_precision_recall_auc	iteration2_roc_auc	iteration3_mcc	iteration3_precision_recall_auc	iteration3_roc_auc	iteration4_mcc	iteration4_precision_recall_auc	iteration4_roc_auc	iteration5_mcc	iteration5_precision_recall_auc	iteration5_roc_auc	iteration6_mcc	iteration6_precision_recall_auc	iteration6_roc_auc	iteration7_mcc	iteration7_precision_recall_auc	iteration7_roc_auc	iteration8_mcc	iteration8_precision_recall_auc	iteration8_roc_auc	iteration9_mcc	iteration9_precision_recall_auc	iteration9_roc_auc	mean_mcc	std_mcc	mean_precision_recall_auc	std_precision_recall_auc	mean_roc_auc	std_roc_auc
0	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.0001}	2.0	2.0	1e-06	X	X	X	X	0.0001	0.2844627935584563	0.777346231025682	0.7575757575757576	0.2844627935584563	0.8025265510388283	0.808080808080808	0.49517597397212765	0.8316832358749172	0.842171717171717	0.3939393939393939	0.765410790858966	0.7878787878787878	0.33734954246999327	0.6937373054772251	0.7474747474747474	0.2844627935584563	0.75856813362487	0.7651515151515151	0.4923659639173309	0.7871785019515237	0.8055555555555556	0.5449492609130661	0.8778697628988477	0.8611111111111109	0.28721347895177635	0.7239643309192287	0.6868686868686869	0.13723275692966877	0.5834741515900936	0.6565656565656566	0.3541614751768726	0.12621159232019538	0.7601758995260182	0.08080260194839081	0.7718434343434342	0.06409491872422228
1	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.001}	2.0	2.0	1e-06	X	X	X	X	0.001	0.38981938376529196	0.6824066517737626	0.7121212121212122	0.2844627935584563	0.7007951636890284	0.7373737373737373	0.33734954246999327	0.702151085135663	0.797979797979798	0.28721347895177635	0.6528388682664036	0.755050505050505	0.2844627935584563	0.6362820933417621	0.7045454545454545	0.28721347895177635	0.6192405615058131	0.7247474747474747	0.33734954246999327	0.6663469716384971	0.7146464646464646	0.38978972143455365	0.6912587708416527	0.7676767676767677	0.23067328480185004	0.5340092165249382	0.6262626262626263	0.11816976065812392	0.5310525881579393	0.5984848484848485	0.2946503780620272	0.07979956631757104	0.641638197087546	0.06356546880145098	0.7138888888888888	0.06093311027257998
2	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.01}	2.0	2.0	1e-06	X	X	X	X	0.01	0.4923659639173309	0.746562094055214	0.797979797979798	0.44219443899559935	0.7833317401504799	0.7828282828282829	0.44219443899559935	0.7416983768490065	0.8358585858585859	0.447801930486707	0.7055736741704459	0.8257575757575758	0.3939393939393939	0.7256187953540671	0.7752525252525253	0.38978972143455365	0.7111152124974365	0.7929292929292928	0.44219443899559935	0.6940963103860384	0.7676767676767677	0.5438483330175762	0.7528305987671313	0.8282828282828283	0.38978972143455365	0.6108744348685765	0.7348484848484849	0.38981938376529196	0.666432041124874	0.7626262626262625	0.43739377649822053	0.0507891951201224	0.713813327822327	0.04904637069378454	0.7904040404040404	0.03244837587103769
3	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.1}	2.0	2.0	1e-06	X	X	X	X	0.1	0.4923659639173309	0.7954171375177455	0.8257575757575757	0.44219443899559935	0.8564620793224912	0.8409090909090909	0.494949494949495	0.8275415489107328	0.8686868686868687	0.502518907629606	0.8014663642874877	0.8510101010101011	0.45786489521674534	0.7850863220558559	0.8055555555555556	0.28721347895177635	0.7970646393975016	0.8282828282828283	0.44219443899559935	0.7664621089859271	0.8005050505050505	0.5438483330175762	0.8085194760990908	0.835858585858586	0.38978972143455365	0.6535444081504659	0.7727272727272727	0.38981938376529196	0.7570935633602491	0.787878787878788	0.4442759056873574	0.073774107546771	0.7848657648087549	0.054158013513769365	0.8217171717171716	0.02971750055705891
4	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1.0}	2.0	2.0	1e-06	X	X	X	X	1.0	0.4923659639173309	0.7954171375177455	0.8257575757575757	0.44219443899559935	0.8564620793224912	0.8409090909090909	0.494949494949495	0.8275415489107328	0.8686868686868687	0.502518907629606	0.8014663642874877	0.8510101010101011	0.45786489521674534	0.7850863220558559	0.8055555555555556	0.28721347895177635	0.7970646393975016	0.8282828282828283	0.44219443899559935	0.7664621089859271	0.8005050505050505	0.5438483330175762	0.8085194760990908	0.835858585858586	0.38978972143455365	0.6535444081504659	0.7727272727272727	0.38981938376529196	0.7570935633602491	0.787878787878788	0.4442759056873574	0.073774107546771	0.7848657648087549	0.054158013513769365	0.8217171717171716	0.02971750055705891
5	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10.0}	2.0	2.0	1e-06	X	X	X	X	10.0	0.4923659639173309	0.7954171375177455	0.8257575757575757	0.44219443899559935	0.8564620793224912	0.8409090909090909	0.494949494949495	0.8275415489107328	0.8686868686868687	0.502518907629606	0.8014663642874877	0.8510101010101011	0.45786489521674534	0.7850863220558559	0.8055555555555556	0.28721347895177635	0.7970646393975016	0.8282828282828283	0.44219443899559935	0.7664621089859271	0.8005050505050505	0.5438483330175762	0.8085194760990908	0.835858585858586	0.38978972143455365	0.6535444081504659	0.7727272727272727	0.38981938376529196	0.7570935633602491	0.787878787878788	0.4442759056873574	0.073774107546771	0.7848657648087549	0.054158013513769365	0.8217171717171716	0.02971750055705891
6	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 100.0}	2.0	2.0	1e-06	X	X	X	X	100.0	0.4923659639173309	0.7954171375177455	0.8257575757575757	0.44219443899559935	0.8564620793224912	0.8409090909090909	0.494949494949495	0.8275415489107328	0.8686868686868687	0.502518907629606	0.8014663642874877	0.8510101010101011	0.45786489521674534	0.7850863220558559	0.8055555555555556	0.28721347895177635	0.7970646393975016	0.8282828282828283	0.44219443899559935	0.7664621089859271	0.8005050505050505	0.5438483330175762	0.8085194760990908	0.835858585858586	0.38978972143455365	0.6535444081504659	0.7727272727272727	0.38981938376529196	0.7570935633602491	0.787878787878788	0.4442759056873574	0.073774107546771	0.7848657648087549	0.054158013513769365	0.8217171717171716	0.02971750055705891
7	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1000.0}	2.0	2.0	1e-06	X	X	X	X	1000.0	0.4923659639173309	0.7954171375177455	0.8257575757575757	0.44219443899559935	0.8564620793224912	0.8409090909090909	0.494949494949495	0.8275415489107328	0.8686868686868687	0.502518907629606	0.8014663642874877	0.8510101010101011	0.45786489521674534	0.7850863220558559	0.8055555555555556	0.28721347895177635	0.7970646393975016	0.8282828282828283	0.44219443899559935	0.7664621089859271	0.8005050505050505	0.5438483330175762	0.8085194760990908	0.835858585858586	0.38978972143455365	0.6535444081504659	0.7727272727272727	0.38981938376529196	0.7570935633602491	0.787878787878788	0.4442759056873574	0.073774107546771	0.7848657648087549	0.054158013513769365	0.8217171717171716	0.02971750055705891
8	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10000.0}	2.0	2.0	1e-06	X	X	X	X	10000.0	0.4923659639173309	0.7954171375177455	0.8257575757575757	0.44219443899559935	0.8564620793224912	0.8409090909090909	0.494949494949495	0.8275415489107328	0.8686868686868687	0.502518907629606	0.8014663642874877	0.8510101010101011	0.45786489521674534	0.7850863220558559	0.8055555555555556	0.28721347895177635	0.7970646393975016	0.8282828282828283	0.44219443899559935	0.7664621089859271	0.8005050505050505	0.5438483330175762	0.8085194760990908	0.835858585858586	0.38978972143455365	0.6535444081504659	0.7727272727272727	0.38981938376529196	0.7570935633602491	0.787878787878788	0.4442759056873574	0.073774107546771	0.7848657648087549	0.054158013513769365	0.8217171717171716	0.02971750055705891
9	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-05, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.0001}	2.0	2.0	1e-05	X	X	X	X	0.0001	0.2844627935584563	0.777346231025682	0.7575757575757576	0.2844627935584563	0.8025265510388283	0.808080808080808	0.49517597397212765	0.8316832358749172	0.842171717171717	0.3939393939393939	0.765410790858966	0.7878787878787878	0.33734954246999327	0.6937373054772251	0.7474747474747474	0.2844627935584563	0.75856813362487	0.7651515151515151	0.4923659639173309	0.7871785019515237	0.8055555555555556	0.5449492609130661	0.8778697628988477	0.8611111111111109	0.28721347895177635	0.7239643309192287	0.6868686868686869	0.13723275692966877	0.5834741515900936	0.6565656565656566	0.3541614751768726	0.12621159232019538	0.7601758995260182	0.08080260194839081	0.7718434343434342	0.06409491872422228
