	params	dataselector__P1	dataselector__P2	dataselector__R0	dataselector__R1	dataselector__R2	dataselector__SA	dataselector__SO	svc__C	iteration0_mcc	iteration0_precision_recall_auc	iteration0_roc_auc	iteration1_mcc	iteration1_precision_recall_auc	iteration1_roc_auc	iteration2_mcc	iteration2_precision_recall_auc	iteration2_roc_auc	iteration3_mcc	iteration3_precision_recall_auc	iteration3_roc_auc	iteration4_mcc	iteration4_precision_recall_auc	iteration4_roc_auc	iteration5_mcc	iteration5_precision_recall_auc	iteration5_roc_auc	iteration6_mcc	iteration6_precision_recall_auc	iteration6_roc_auc	iteration7_mcc	iteration7_precision_recall_auc	iteration7_roc_auc	iteration8_mcc	iteration8_precision_recall_auc	iteration8_roc_auc	iteration9_mcc	iteration9_precision_recall_auc	iteration9_roc_auc	mean_mcc	std_mcc	mean_precision_recall_auc	std_precision_recall_auc	mean_roc_auc	std_roc_auc
0	{'dataselector__P1': 2.0, 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.0001}	2.0	X	1e-06	X	1e-06	X	X	0.0001	0.0	0.33895434266872515	0.32323232323232326	0.0	0.3509998708982118	0.3459595959595959	0.0	0.33690725055559145	0.31313131313131315	0.0	0.33219030698973895	0.3005050505050505	0.0	0.33754819099916344	0.3181818181818182	0.0	0.34608640256562573	0.34595959595959597	0.0	0.349219532698277	0.3484848484848485	0.0	0.3509832588381936	0.3383838383838384	0.0	0.33438095944802726	0.3106060606060606	0.0	0.33739036241322434	0.3181818181818182	0.0	0.0	0.3414660478074779	0.007135398827457209	0.32626262626262625	0.01711881995809584
1	{'dataselector__P1': 2.0, 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.001}	2.0	X	1e-06	X	1e-06	X	X	0.001	0.5956833971812706	0.9081654512062374	0.9191919191919191	0.5956833971812706	0.9069751948108726	0.9191919191919191	0.5956833971812706	0.9052890500732573	0.9116161616161615	0.5956833971812706	0.8883125292108669	0.8964646464646464	0.5956833971812706	0.9006233656750214	0.9141414141414141	0.5956833971812706	0.8929845952688025	0.9065656565656566	0.5956833971812706	0.9025186121354853	0.9166666666666666	0.5956833971812706	0.8997587470429542	0.9065656565656566	0.5956833971812706	0.905849637834932	0.9191919191919191	0.5956833971812706	0.9114121139637698	0.9217171717171717	0.5956833971812705	1.1702778228589004e-16	0.9021889297222199	0.007090255701349637	0.9131313131313131	0.007914248669052623
2	{'dataselector__P1': 2.0, 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.01}	2.0	X	1e-06	X	1e-06	X	X	0.01	0.696969696969697	0.9063534486376559	0.9191919191919192	0.6975184488828855	0.9172271986126477	0.9318181818181818	0.696969696969697	0.911197283538615	0.9217171717171716	0.696969696969697	0.886960893988264	0.8888888888888888	0.6455022270395531	0.9053440596348458	0.9191919191919192	0.5044296328024895	0.8847708183564718	0.8838383838383839	0.5949422064001082	0.8965146089346858	0.9090909090909091	0.696969696969697	0.9233593686012418	0.9267676767676767	0.696969696969697	0.939794366352029	0.9444444444444444	0.696969696969697	0.9096782902190764	0.9191919191919191	0.6624210696943219	0.06514463418253301	0.9081200336875532	0.016562160853227873	0.9164141414141413	0.018420693561177676
3	{'dataselector__P1': 2.0, 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.1}	2.0	X	1e-06	X	1e-06	X	X	0.1	0.696969696969697	0.9122360610366512	0.9040404040404041	0.696969696969697	0.932151699063464	0.9368686868686869	0.696969696969697	0.9302703859321507	0.9318181818181818	0.696969696969697	0.915412527967675	0.9090909090909091	0.696969696969697	0.9153431922663118	0.9191919191919192	0.696969696969697	0.9187836591513063	0.9242424242424243	0.696969696969697	0.9109791574381358	0.9090909090909091	0.74715612106153	0.9345536269421504	0.9217171717171717	0.696969696969697	0.928464062223653	0.9040404040404042	0.696969696969697	0.9310227966477966	0.9116161616161615	0.7019883393788804	0.015870340774933947	0.9229217168669296	0.009180870008300396	0.9171717171717173	0.011467600246415062
4	{'dataselector__P1': 2.0, 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1.0}	2.0	X	1e-06	X	1e-06	X	X	1.0	0.74715612106153	0.9171973579539369	0.8989898989898988	0.74715612106153	0.920606556962766	0.8964646464646464	0.6490612250874742	0.9102048164963765	0.8888888888888888	0.696969696969697	0.8822467286568846	0.8762626262626262	0.74715612106153	0.9204290776726503	0.9040404040404041	0.74715612106153	0.9152588576626133	0.8964646464646465	0.696969696969697	0.9319327683840068	0.9090909090909091	0.74715612106153	0.9299874554994461	0.8964646464646464	0.74715612106153	0.9214761708879357	0.898989898989899	0.696969696969697	0.9186046715719283	0.9015151515151516	0.7222907042365746	0.03495354149399038	0.9167944461748545	0.013726093829676767	0.8967171717171718	0.008943974046558605
5	{'dataselector__P1': 2.0, 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10.0}	2.0	X	1e-06	X	1e-06	X	X	10.0	0.5959595959595959	0.8944855826434774	0.8585858585858586	0.696969696969697	0.9125996443643503	0.898989898989899	0.494949494949495	0.8640867121211326	0.8535353535353535	0.5484315777870906	0.8530216980064116	0.8383838383838385	0.6030226891555273	0.8679984948873203	0.8787878787878787	0.40201512610368484	0.8667720292992033	0.8535353535353535	0.5484315777870906	0.8932354360615231	0.8838383838383838	0.502518907629606	0.8985619147183104	0.8686868686868686	0.5484315777870906	0.8875183577522758	0.8686868686868687	0.5438483330175762	0.8472159315456417	0.8282828282828283	0.5484578577146454	0.0772656009544143	0.8785495801399646	0.021609285237711048	0.8631313131313132	0.021221471938258456
6	{'dataselector__P1': 2.0, 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 100.0}	2.0	X	1e-06	X	1e-06	X	X	100.0	0.45786489521674534	0.9003519679908569	0.8712121212121212	0.45786489521674534	0.9017648728964089	0.8813131313131313	0.447801930486707	0.848277848260798	0.8358585858585857	0.447801930486707	0.8377609345931352	0.8131313131313131	0.45786489521674534	0.8854141795421157	0.8762626262626263	0.35723524791636174	0.8663029633410069	0.8434343434343433	0.5484315777870906	0.8658179329747958	0.8434343434343434	0.502518907629606	0.8891332549530443	0.8535353535353536	0.45786489521674534	0.8818429537451277	0.8611111111111109	0.447801930486707	0.8500111388070175	0.803030303030303	0.4583051105660161	0.04787075494855549	0.8726678047104308	0.022472038852562357	0.8482323232323232	0.025984072710020737
7	{'dataselector__P1': 2.0, 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1000.0}	2.0	X	1e-06	X	1e-06	X	X	1000.0	0.45786489521674534	0.9003519679908569	0.8712121212121212	0.45786489521674534	0.9017648728964089	0.8813131313131313	0.447801930486707	0.848277848260798	0.8358585858585857	0.447801930486707	0.8377609345931352	0.8131313131313131	0.45786489521674534	0.8854141795421157	0.8762626262626263	0.35723524791636174	0.8663029633410069	0.8434343434343433	0.5484315777870906	0.8658179329747958	0.8434343434343434	0.502518907629606	0.8891332549530443	0.8535353535353536	0.45786489521674534	0.8818429537451277	0.8611111111111109	0.447801930486707	0.8500111388070175	0.803030303030303	0.4583051105660161	0.04787075494855549	0.8726678047104308	0.022472038852562357	0.8482323232323232	0.025984072710020737
8	{'dataselector__P1': 2.0, 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10000.0}	2.0	X	1e-06	X	1e-06	X	X	10000.0	0.45786489521674534	0.9003519679908569	0.8712121212121212	0.45786489521674534	0.9017648728964089	0.8813131313131313	0.447801930486707	0.848277848260798	0.8358585858585857	0.447801930486707	0.8377609345931352	0.8131313131313131	0.45786489521674534	0.8854141795421157	0.8762626262626263	0.35723524791636174	0.8663029633410069	0.8434343434343433	0.5484315777870906	0.8658179329747958	0.8434343434343434	0.502518907629606	0.8891332549530443	0.8535353535353536	0.45786489521674534	0.8818429537451277	0.8611111111111109	0.447801930486707	0.8500111388070175	0.803030303030303	0.4583051105660161	0.04787075494855549	0.8726678047104308	0.022472038852562357	0.8482323232323232	0.025984072710020737
9	{'dataselector__P1': 2.0, 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 1e-05, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.0001}	2.0	X	1e-06	X	1e-05	X	X	0.0001	0.0	0.36079824572902597	0.30934343434343436	0.0	0.3436816744676965	0.3308080808080808	0.0	0.33217836711663523	0.2954545454545454	0.0	0.3252954348133409	0.2777777777777778	0.0	0.3646525681035406	0.3244949494949495	0.0	0.36536210896401017	0.3257575757575758	0.0	0.34673128021002453	0.3434343434343434	0.0	0.36036801994396916	0.3042929292929292	0.0	0.33377308995126875	0.30808080808080807	0.0	0.33150258911841246	0.29545454545454547	0.0	0.0	0.3464343378417924	0.015389929432045249	0.31148989898989893	0.01967834524819017
