	params	dataselector__P1	dataselector__P2	dataselector__R0	dataselector__R1	dataselector__R2	dataselector__SA	dataselector__SO	svc__C	iteration0_mcc	iteration0_precision_recall_auc	iteration0_roc_auc	iteration1_mcc	iteration1_precision_recall_auc	iteration1_roc_auc	iteration2_mcc	iteration2_precision_recall_auc	iteration2_roc_auc	iteration3_mcc	iteration3_precision_recall_auc	iteration3_roc_auc	iteration4_mcc	iteration4_precision_recall_auc	iteration4_roc_auc	iteration5_mcc	iteration5_precision_recall_auc	iteration5_roc_auc	iteration6_mcc	iteration6_precision_recall_auc	iteration6_roc_auc	iteration7_mcc	iteration7_precision_recall_auc	iteration7_roc_auc	iteration8_mcc	iteration8_precision_recall_auc	iteration8_roc_auc	iteration9_mcc	iteration9_precision_recall_auc	iteration9_roc_auc	mean_mcc	std_mcc	mean_precision_recall_auc	std_precision_recall_auc	mean_roc_auc	std_roc_auc
0	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 0.0001}	2.0	2.0	X	X	X	0.25	-2.0	0.0001	0.0	0.4233355319049882	0.5	0.0	0.7141325397646348	0.6994949494949494	0.0	0.7262125227469894	0.7348484848484849	0.0	0.4935089938047582	0.5505050505050505	0.0	0.5215412145305411	0.5404040404040403	0.0	0.7406074997834019	0.6843434343434344	0.0	0.48844111776805615	0.542929292929293	0.0	0.6385949667154377	0.6641414141414141	0.0	0.4656857939170984	0.6035353535353536	0.0	0.455172219587998	0.5883838383838385	0.0	0.0	0.5667232400523905	0.12441403828479816	0.6108585858585859	0.0799570258631274
1	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 0.001}	2.0	2.0	X	X	X	0.25	-2.0	0.001	0.0	0.5507379929024261	0.5896464646464646	0.0	0.7357820043236709	0.75	0.0	0.743739021947039	0.7424242424242423	0.0	0.6957645502328808	0.6691919191919191	0.0	0.680745599946948	0.696969696969697	0.0	0.7404713328229191	0.7146464646464646	0.0	0.5838531875540853	0.6464646464646464	0.0	0.7253906949940093	0.7032828282828284	0.0	0.7944427644553186	0.803030303030303	0.0	0.6084849354258483	0.6893939393939394	0.0	0.0	0.6859412084605145	0.07954866883011331	0.7005050505050504	0.05892796992951698
2	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 0.01}	2.0	2.0	X	X	X	0.25	-2.0	0.01	0.0	0.5621992724832319	0.5744949494949495	0.0	0.6560812790433381	0.6944444444444445	0.0	0.6813102238712286	0.6919191919191919	0.0	0.574138682575402	0.6388888888888888	0.0	0.6697381433849166	0.6767676767676768	0.0	0.695239890021397	0.6641414141414141	0.0	0.6348070947579926	0.6767676767676768	0.0	0.693453443603822	0.6893939393939393	0.0	0.7512709820292245	0.7297979797979799	0.0	0.4987554730755428	0.6136363636363636	0.0	0.0	0.6416994484846097	0.07562937007602229	0.6650252525252525	0.04493739512297643
3	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 0.1}	2.0	2.0	X	X	X	0.25	-2.0	0.1	0.0	0.5840605967996882	0.5858585858585859	0.0	0.6653244696425229	0.7095959595959597	0.0	0.7131243264515851	0.7095959595959596	0.0	0.5935511607588566	0.6414141414141414	0.0	0.6620789970852987	0.6717171717171718	0.0	0.7139097511711697	0.6818181818181818	0.0	0.6446044733053712	0.6868686868686869	0.0	0.7413479889618176	0.7020202020202021	0.0	0.6527596201346644	0.6843434343434344	0.0	0.49290556475774905	0.595959595959596	0.0	0.0	0.6463666949068723	0.07372033459506638	0.6669191919191919	0.044817995773848825
4	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 1.0}	2.0	2.0	X	X	X	0.25	-2.0	1.0	0.0	0.6577956606771864	0.6388888888888888	0.0	0.7251390736134735	0.7272727272727273	0.0	0.7330475945730914	0.7436868686868686	0.17702833484793146	0.6261002703703231	0.6414141414141413	0.17702833484793146	0.7259107189661651	0.7045454545454546	0.0	0.7276612310819768	0.7045454545454546	0.0	0.7192427082207666	0.702020202020202	0.0	0.7407740648737734	0.7146464646464646	0.0	0.7454165668200456	0.7702020202020202	0.17702833484793146	0.611117622404633	0.6464646464646464	0.05310850045437944	0.08551280983439838	0.7012205511601435	0.0498705571253328	0.6993686868686868	0.04455896154887575
5	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 10.0}	2.0	2.0	X	X	X	0.25	-2.0	10.0	0.2010075630518424	0.6140050626652067	0.6136363636363636	0.0	0.6559179475847348	0.6691919191919191	0.17588161767036212	0.6249630802064434	0.6691919191919192	0.17702833484793146	0.596501161997808	0.6578282828282829	0.0	0.6196614829927449	0.6717171717171717	0.0	0.757469963631908	0.7575757575757577	0.04222003309207491	0.58224239029674	0.6452020202020201	0.02305714879553582	0.6103890305444921	0.6060606060606061	0.11396057645963793	0.648424240978047	0.7045454545454546	0.2659080117391552	0.7148689734382752	0.7651515151515151	0.09990632856565398	0.09937187021021936	0.6424443334336399	0.05486301898328597	0.6760101010101011	0.053320779990504795
6	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 100.0}	2.0	2.0	X	X	X	0.25	-2.0	100.0	0.2010075630518424	0.6140050626652067	0.6136363636363636	0.0	0.6559179475847348	0.6691919191919191	0.17588161767036212	0.6249630802064434	0.6691919191919192	0.17702833484793146	0.596501161997808	0.6578282828282829	0.0	0.6196614829927449	0.6717171717171717	0.0	0.757469963631908	0.7575757575757577	0.04222003309207491	0.58224239029674	0.6452020202020201	0.02305714879553582	0.6103890305444921	0.6060606060606061	0.11396057645963793	0.648424240978047	0.7045454545454546	0.2659080117391552	0.7148689734382752	0.7651515151515151	0.09990632856565398	0.09937187021021936	0.6424443334336399	0.05486301898328597	0.6760101010101011	0.053320779990504795
7	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 1000.0}	2.0	2.0	X	X	X	0.25	-2.0	1000.0	0.2010075630518424	0.6140050626652067	0.6136363636363636	0.0	0.6559179475847348	0.6691919191919191	0.17588161767036212	0.6249630802064434	0.6691919191919192	0.17702833484793146	0.596501161997808	0.6578282828282829	0.0	0.6196614829927449	0.6717171717171717	0.0	0.757469963631908	0.7575757575757577	0.04222003309207491	0.58224239029674	0.6452020202020201	0.02305714879553582	0.6103890305444921	0.6060606060606061	0.11396057645963793	0.648424240978047	0.7045454545454546	0.2659080117391552	0.7148689734382752	0.7651515151515151	0.09990632856565398	0.09937187021021936	0.6424443334336399	0.05486301898328597	0.6760101010101011	0.053320779990504795
8	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 10000.0}	2.0	2.0	X	X	X	0.25	-2.0	10000.0	0.2010075630518424	0.6140050626652067	0.6136363636363636	0.0	0.6559179475847348	0.6691919191919191	0.17588161767036212	0.6249630802064434	0.6691919191919192	0.17702833484793146	0.596501161997808	0.6578282828282829	0.0	0.6196614829927449	0.6717171717171717	0.0	0.757469963631908	0.7575757575757577	0.04222003309207491	0.58224239029674	0.6452020202020201	0.02305714879553582	0.6103890305444921	0.6060606060606061	0.11396057645963793	0.648424240978047	0.7045454545454546	0.2659080117391552	0.7148689734382752	0.7651515151515151	0.09990632856565398	0.09937187021021936	0.6424443334336399	0.05486301898328597	0.6760101010101011	0.053320779990504795
9	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -1.0, 'svc__C': 0.0001}	2.0	2.0	X	X	X	0.25	-1.0	0.0001	0.0	0.7132201114458148	0.7878787878787878	0.0	0.7009421310502097	0.7550505050505051	0.0	0.7246553537694151	0.7424242424242424	0.0	0.615970091716966	0.654040404040404	0.0	0.6314722992089391	0.6666666666666666	0.0	0.623890632975146	0.6414141414141414	0.0	0.5892511996151639	0.6893939393939393	0.0	0.8276496830960195	0.8535353535353534	0.0	0.6357233891987897	0.7146464646464645	0.0	0.5494537016436594	0.6717171717171717	0.0	0.0	0.6612228593720123	0.08072724661268854	0.7176767676767677	0.06731691521196297
