	params	dataselector__P1	dataselector__P2	dataselector__R0	dataselector__R1	dataselector__R2	dataselector__SA	dataselector__SO	svc__C	iteration0_mcc	iteration0_precision_recall_auc	iteration0_roc_auc	iteration1_mcc	iteration1_precision_recall_auc	iteration1_roc_auc	iteration2_mcc	iteration2_precision_recall_auc	iteration2_roc_auc	iteration3_mcc	iteration3_precision_recall_auc	iteration3_roc_auc	iteration4_mcc	iteration4_precision_recall_auc	iteration4_roc_auc	iteration5_mcc	iteration5_precision_recall_auc	iteration5_roc_auc	iteration6_mcc	iteration6_precision_recall_auc	iteration6_roc_auc	iteration7_mcc	iteration7_precision_recall_auc	iteration7_roc_auc	iteration8_mcc	iteration8_precision_recall_auc	iteration8_roc_auc	iteration9_mcc	iteration9_precision_recall_auc	iteration9_roc_auc	mean_mcc	std_mcc	mean_precision_recall_auc	std_precision_recall_auc	mean_roc_auc	std_roc_auc
0	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 0.0001}	2.0	2.0	X	X	X	0.25	-2.0	0.0001	0.0	0.5828757107678677	0.6287878787878788	0.0	0.640451197338985	0.6818181818181818	0.0	0.6810498356700655	0.7121212121212122	0.0	0.6636388992126081	0.7070707070707071	0.0	0.5870727847418141	0.6679292929292929	0.0	0.6675564728019862	0.7575757575757576	0.0	0.6152106467532872	0.7323232323232323	0.0	0.691574951639264	0.7171717171717171	0.0	0.5287843191134695	0.547979797979798	0.0	0.4476194976475957	0.5429292929292929	0.0	0.0	0.6105834315686943	0.07678849155727485	0.6695707070707072	0.07438917998738946
1	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 0.001}	2.0	2.0	X	X	X	0.25	-2.0	0.001	0.0	0.6781164895179972	0.686868686868687	0.0	0.7340743647954691	0.7878787878787878	0.0	0.7121357409089608	0.7537878787878788	0.0	0.8363369805538736	0.8232323232323232	0.0	0.7421672481205506	0.7525252525252526	0.0	0.7369039758699141	0.7714646464646465	0.0	0.7330234931723468	0.7676767676767676	0.0	0.7147368943851573	0.7209595959595959	0.0	0.5987366198264369	0.6502525252525253	0.0	0.5816576453556851	0.7222222222222222	0.0	0.0	0.7067889452506392	0.07350056200726374	0.7436868686868687	0.050269512494667115
2	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 0.01}	2.0	2.0	X	X	X	0.25	-2.0	0.01	0.0	0.6563592388637361	0.6363636363636364	0.0	0.8616673064384	0.8106060606060606	0.0	0.7811545952928823	0.7727272727272727	0.0	0.7312390584513908	0.7525252525252525	0.0	0.7700774700870049	0.75	0.0	0.7462190543008396	0.73989898989899	0.0	0.7411904856370801	0.7929292929292929	0.0	0.852990741376777	0.8005050505050506	0.0	0.6945354924759959	0.6969696969696969	0.0	0.45872515803249253	0.5303030303030303	0.0	0.0	0.72941586009566	0.11418461606793015	0.7282828282828283	0.08690195901844452
3	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 0.1}	2.0	2.0	X	X	X	0.25	-2.0	0.1	0.0	0.6624943564628585	0.6313131313131313	0.0	0.8616673064384	0.8106060606060606	0.0	0.7800017531312683	0.768939393939394	0.0	0.7314285339427986	0.75	0.0	0.7520320895416241	0.73989898989899	0.0	0.7409597820782031	0.7348484848484849	0.0	0.745054421792683	0.797979797979798	0.0	0.8538867987244473	0.803030303030303	0.0	0.6634582550755657	0.6641414141414141	0.0	0.4533190515758361	0.5265151515151516	0.0	0.0	0.7244302348763684	0.11606776757527276	0.7227272727272727	0.09033480849520763
4	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 1.0}	2.0	2.0	X	X	X	0.25	-2.0	1.0	0.02305714879553582	0.7112880268244391	0.6641414141414141	0.464420364012824	0.8748409065230531	0.8282828282828282	0.3685138655950444	0.7848426517802163	0.7676767676767676	0.11396057645963793	0.7319101382438474	0.75	0.11241527678823851	0.8143370393981737	0.7676767676767677	0.2659080117391552	0.776011854598026	0.755050505050505	0.11396057645963793	0.7379484435953735	0.7904040404040404	0.3685138655950444	0.8600073918185374	0.8030303030303031	0.3685138655950444	0.7367482752129721	0.7020202020202021	0.0335012605086404	0.4585881636301084	0.51010101010101	0.22327648115488027	0.16177558847945828	0.7486522891624746	0.11583808772785065	0.733838383838384	0.0917948493601646
5	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 10.0}	2.0	2.0	X	X	X	0.25	-2.0	10.0	0.45579764825276364	0.7248356505548377	0.6805555555555556	0.5222329678670935	0.867900523873176	0.8333333333333333	0.4452530846175245	0.7754073519121917	0.7765151515151515	0.35500323670398953	0.7219369613396961	0.7702020202020201	0.29012942659282975	0.7876124793402803	0.7537878787878789	0.3432550190545504	0.7631463449452356	0.7550505050505051	0.3947710169758614	0.7439194742280623	0.773989898989899	0.5956833971812706	0.859964779943355	0.8005050505050505	0.28511240114923325	0.7145121744215386	0.6919191919191919	0.11816976065812392	0.45167620231994327	0.5454545454545454	0.3805407959053241	0.13522760001611106	0.7410911942878317	0.11505863342283366	0.7381313131313132	0.08154606548070661
6	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 100.0}	2.0	2.0	X	X	X	0.25	-2.0	100.0	0.45579764825276364	0.7248356505548377	0.6805555555555556	0.5222329678670935	0.867900523873176	0.8333333333333333	0.4452530846175245	0.7754073519121917	0.7765151515151515	0.35500323670398953	0.7219369613396961	0.7702020202020201	0.29012942659282975	0.7876124793402803	0.7537878787878789	0.3432550190545504	0.7631463449452356	0.7550505050505051	0.3947710169758614	0.7439194742280623	0.773989898989899	0.5956833971812706	0.859964779943355	0.8005050505050505	0.28511240114923325	0.7145121744215386	0.6919191919191919	0.11816976065812392	0.45167620231994327	0.5454545454545454	0.3805407959053241	0.13522760001611106	0.7410911942878317	0.11505863342283366	0.7381313131313132	0.08154606548070661
7	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 1000.0}	2.0	2.0	X	X	X	0.25	-2.0	1000.0	0.45579764825276364	0.7248356505548377	0.6805555555555556	0.5222329678670935	0.867900523873176	0.8333333333333333	0.4452530846175245	0.7754073519121917	0.7765151515151515	0.35500323670398953	0.7219369613396961	0.7702020202020201	0.29012942659282975	0.7876124793402803	0.7537878787878789	0.3432550190545504	0.7631463449452356	0.7550505050505051	0.3947710169758614	0.7439194742280623	0.773989898989899	0.5956833971812706	0.859964779943355	0.8005050505050505	0.28511240114923325	0.7145121744215386	0.6919191919191919	0.11816976065812392	0.45167620231994327	0.5454545454545454	0.3805407959053241	0.13522760001611106	0.7410911942878317	0.11505863342283366	0.7381313131313132	0.08154606548070661
8	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 10000.0}	2.0	2.0	X	X	X	0.25	-2.0	10000.0	0.45579764825276364	0.7248356505548377	0.6805555555555556	0.5222329678670935	0.867900523873176	0.8333333333333333	0.4452530846175245	0.7754073519121917	0.7765151515151515	0.35500323670398953	0.7219369613396961	0.7702020202020201	0.29012942659282975	0.7876124793402803	0.7537878787878789	0.3432550190545504	0.7631463449452356	0.7550505050505051	0.3947710169758614	0.7439194742280623	0.773989898989899	0.5956833971812706	0.859964779943355	0.8005050505050505	0.28511240114923325	0.7145121744215386	0.6919191919191919	0.11816976065812392	0.45167620231994327	0.5454545454545454	0.3805407959053241	0.13522760001611106	0.7410911942878317	0.11505863342283366	0.7381313131313132	0.08154606548070661
9	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -1.0, 'svc__C': 0.0001}	2.0	2.0	X	X	X	0.25	-1.0	0.0001	0.0	0.7013161218450923	0.7727272727272727	0.0	0.8282421203667333	0.8055555555555556	0.0	0.7705558955275158	0.744949494949495	0.0	0.6358910360599966	0.6641414141414141	0.0	0.6977220700884895	0.6944444444444445	0.0	0.6458037970745444	0.6843434343434344	0.0	0.6310753609189917	0.7449494949494949	0.0	0.8402005333990628	0.8055555555555556	0.0	0.721181878166387	0.7373737373737373	0.0	0.5354961421380224	0.6717171717171717	0.0	0.0	0.7007484955584836	0.09451023979571019	0.7325757575757577	0.05245195286920419
