	params	dataselector__P1	dataselector__P2	dataselector__R0	dataselector__R1	dataselector__R2	dataselector__SA	dataselector__SO	svc__C	iteration0_mcc	iteration0_precision_recall_auc	iteration0_roc_auc	iteration1_mcc	iteration1_precision_recall_auc	iteration1_roc_auc	iteration2_mcc	iteration2_precision_recall_auc	iteration2_roc_auc	iteration3_mcc	iteration3_precision_recall_auc	iteration3_roc_auc	iteration4_mcc	iteration4_precision_recall_auc	iteration4_roc_auc	iteration5_mcc	iteration5_precision_recall_auc	iteration5_roc_auc	iteration6_mcc	iteration6_precision_recall_auc	iteration6_roc_auc	iteration7_mcc	iteration7_precision_recall_auc	iteration7_roc_auc	iteration8_mcc	iteration8_precision_recall_auc	iteration8_roc_auc	iteration9_mcc	iteration9_precision_recall_auc	iteration9_roc_auc	mean_mcc	std_mcc	mean_precision_recall_auc	std_precision_recall_auc	mean_roc_auc	std_roc_auc
0	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.0001}	2.0	2.0	1e-06	X	X	X	X	0.0001	0.0	0.3492477805260738	0.3434343434343434	0.0	0.3264653251695542	0.2752525252525252	0.0	0.34928117680338466	0.3308080808080809	0.0	0.34251541314082945	0.3232323232323232	0.0	0.35258747947617863	0.3409090909090909	0.0	0.3546260430712947	0.3560606060606061	0.0	0.34263574698360777	0.33838383838383834	0.0	0.3380297050349338	0.2979797979797979	0.0	0.357893694239679	0.3762626262626263	0.0	0.3614603140013089	0.3611111111111111	0.0	0.0	0.3474742678446845	0.010362614352049262	0.33434343434343433	0.029883933176090338
1	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.001}	2.0	2.0	1e-06	X	X	X	X	0.001	-0.12309149097933272	0.40232420187010426	0.4772727272727273	-0.12309149097933272	0.3687671645775024	0.398989898989899	-0.12309149097933272	0.4015521761456975	0.4671717171717172	-0.12309149097933272	0.3952104641060538	0.4545454545454546	-0.12309149097933272	0.4030783448578596	0.45202020202020204	-0.12309149097933272	0.4095997401779882	0.47474747474747475	-0.12309149097933272	0.4083672391112407	0.47222222222222227	-0.12309149097933272	0.3802198430356223	0.4242424242424242	-0.12309149097933272	0.43377948524729326	0.5126262626262627	-0.12309149097933272	0.43484364357478755	0.5227272727272727	-0.12309149097933272	0.0	0.4037742302704149	0.020498840958983095	0.46565656565656566	0.036810602586273576
2	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.01}	2.0	2.0	1e-06	X	X	X	X	0.01	0.28511240114923325	0.33823486641088557	0.32575757575757575	0.23466315646534902	0.32630282837870495	0.28914141414141414	0.44114940169152966	0.35900846275004944	0.3207070707070707	0.5044296328024895	0.3047418830428591	0.2853535353535353	0.44114940169152966	0.3347900142596382	0.3005050505050505	0.17545378532260508	0.3440810194142695	0.3207070707070707	0.23888665095164563	0.3282285590700206	0.30808080808080807	0.2844627935584563	0.3475227884026004	0.32575757575757575	0.0657951694959769	0.34987396535850745	0.375	0.17910620335162064	0.35652938312200666	0.356060606060606	0.2850208596480435	0.1385800200987581	0.33893137702095416	0.016307594208658408	0.32070707070707066	0.028012729448305955
3	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.1}	2.0	2.0	1e-06	X	X	X	X	0.1	0.20100756305184242	0.5249790654947886	0.6338383838383839	0.25660560061597815	0.7365867660995801	0.7752525252525252	0.40201512610368484	0.6272580478790938	0.7651515151515152	0.4530333378893934	0.6432468326914456	0.7272727272727272	0.4930493313022979	0.6826019152297924	0.7626262626262625	0.35723524791636174	0.5726035947177569	0.712121212121212	0.41414141414141414	0.6169900713636506	0.7525252525252525	0.41414141414141414	0.6699612646904318	0.7702020202020202	0.25660560061597815	0.500200322878045	0.6237373737373737	0.09090909090909091	0.4858395929531195	0.6212121212121212	0.33387437266874553	0.12746967335210124	0.6060267473997705	0.08318895008900075	0.7143939393939394	0.0638893879487036
4	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1.0}	2.0	2.0	1e-06	X	X	X	X	1.0	0.447801930486707	0.8087917797376225	0.813131313131313	0.6359727033932191	0.873289384629095	0.8737373737373737	0.6161616161616161	0.8877999275883692	0.8762626262626263	0.5333964609104418	0.7807248620832212	0.8156565656565654	0.41414141414141414	0.8215991457872469	0.8156565656565656	0.3710367131802156	0.7616249101237773	0.7954545454545454	0.3710367131802156	0.7537606896947263	0.8156565656565655	0.6759983952461461	0.901956787722032	0.8914141414141414	0.35723524791636174	0.7727637296878334	0.7525252525252525	0.35723524791636174	0.5785835297528543	0.702020202020202	0.47800164425326985	0.1262081711162525	0.7940894746806777	0.09274765234529234	0.8151515151515152	0.05782773146047413
5	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10.0}	2.0	2.0	1e-06	X	X	X	X	10.0	0.38981938376529196	0.6422363353096134	0.7803030303030303	0.23888665095164563	0.6356320560804393	0.7727272727272727	0.33734954246999327	0.6609055907536523	0.8131313131313131	0.3405405449736225	0.5638335629841271	0.7196969696969697	0.2335496832484569	0.642625336936585	0.7626262626262625	0.28721347895177635	0.5656360502388098	0.7247474747474747	0.3939393939393939	0.6746510548631403	0.7676767676767677	0.4923659639173309	0.6345249662999921	0.7828282828282827	0.3405405449736225	0.5637462802165337	0.7196969696969697	0.0657951694959769	0.5378814044705182	0.6818181818181819	0.31200003566871104	0.1156165744670593	0.6121672638153411	0.04890607357861786	0.7525252525252524	0.03948161413992783
6	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 100.0}	2.0	2.0	1e-06	X	X	X	X	100.0	0.49517597397212765	0.7844955680278403	0.8585858585858586	0.38978972143455365	0.7604955721812896	0.8383838383838383	0.5438483330175762	0.7913829243792059	0.8585858585858587	0.494949494949495	0.7278707149308286	0.8282828282828283	0.3405405449736225	0.7448949642440804	0.8181818181818181	0.28721347895177635	0.7195899283779098	0.7929292929292929	0.44219443899559935	0.7614556601358606	0.8005050505050505	0.4923659639173309	0.7452276363318675	0.8131313131313131	0.38978972143455365	0.6642980221709317	0.7929292929292929	0.38981938376529196	0.6679753782646163	0.8181818181818182	0.42656870554119275	0.08068282689485719	0.736768636904443	0.04337097373956856	0.8219696969696969	0.024140791918686854
7	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1000.0}	2.0	2.0	1e-06	X	X	X	X	1000.0	0.44114940169152966	0.8141664730377882	0.8737373737373737	0.4923659639173309	0.8265752364429284	0.8712121212121212	0.494949494949495	0.8216188570380196	0.8686868686868687	0.494949494949495	0.7572621427461694	0.8333333333333333	0.3939393939393939	0.7899866998505218	0.845959595959596	0.28721347895177635	0.7428752400871347	0.797979797979798	0.494949494949495	0.7897486252928608	0.8207070707070707	0.5438483330175762	0.7939024537875607	0.8358585858585857	0.44219443899559935	0.6893951594638095	0.8106060606060606	0.38981938376529196	0.7809571830548184	0.851010101010101	0.4475378879126983	0.07454032858380076	0.780648807080161	0.04157721017553798	0.8409090909090908	0.02613497423612799
8	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10000.0}	2.0	2.0	1e-06	X	X	X	X	10000.0	0.44114940169152966	0.8141664730377882	0.8737373737373737	0.4923659639173309	0.8265752364429284	0.8712121212121212	0.494949494949495	0.8216188570380196	0.8686868686868687	0.494949494949495	0.7572621427461694	0.8333333333333333	0.3939393939393939	0.7899866998505218	0.845959595959596	0.28721347895177635	0.7428752400871347	0.797979797979798	0.494949494949495	0.7897486252928608	0.8207070707070707	0.5438483330175762	0.7939024537875607	0.8358585858585857	0.44219443899559935	0.6893951594638095	0.8106060606060606	0.38981938376529196	0.7809571830548184	0.851010101010101	0.4475378879126983	0.07454032858380076	0.780648807080161	0.04157721017553798	0.8409090909090908	0.02613497423612799
9	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-05, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.0001}	2.0	2.0	1e-05	X	X	X	X	0.0001	0.0	0.35051541721037716	0.34595959595959597	0.0	0.3264653251695542	0.2752525252525252	0.0	0.34928117680338466	0.3308080808080809	0.0	0.34251541314082945	0.3232323232323232	0.0	0.35258747947617863	0.3409090909090909	0.0	0.3546260430712947	0.3560606060606061	0.0	0.34263574698360777	0.33838383838383834	0.0	0.3380297050349338	0.2979797979797979	0.0	0.357893694239679	0.3762626262626263	0.0	0.3614603140013089	0.3611111111111111	0.0	0.0	0.34760103151311483	0.010394424455451216	0.33459595959595956	0.029979804408262867
