	params	dataselector__P1	dataselector__P2	dataselector__R0	dataselector__R1	dataselector__R2	dataselector__SA	dataselector__SO	svc__C	iteration0_mcc	iteration0_precision_recall_auc	iteration0_roc_auc	iteration1_mcc	iteration1_precision_recall_auc	iteration1_roc_auc	iteration2_mcc	iteration2_precision_recall_auc	iteration2_roc_auc	iteration3_mcc	iteration3_precision_recall_auc	iteration3_roc_auc	iteration4_mcc	iteration4_precision_recall_auc	iteration4_roc_auc	iteration5_mcc	iteration5_precision_recall_auc	iteration5_roc_auc	iteration6_mcc	iteration6_precision_recall_auc	iteration6_roc_auc	iteration7_mcc	iteration7_precision_recall_auc	iteration7_roc_auc	iteration8_mcc	iteration8_precision_recall_auc	iteration8_roc_auc	iteration9_mcc	iteration9_precision_recall_auc	iteration9_roc_auc	mean_mcc	std_mcc	mean_precision_recall_auc	std_precision_recall_auc	mean_roc_auc	std_roc_auc
0	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.0001}	2.0	2.0	1e-06	X	X	X	X	0.0001	0.2844627935584563	0.7648872674672971	0.7398989898989898	0.11816976065812392	0.7315164495310246	0.755050505050505	0.4452530846175245	0.8083152966267002	0.813131313131313	0.38981938376529196	0.750421550032782	0.7702020202020201	0.3379631847096873	0.7835042536387025	0.7916666666666666	0.23466315646534902	0.7615385050539272	0.7525252525252526	0.4452530846175245	0.7869698965407516	0.803030303030303	0.2844627935584563	0.7925134732840226	0.7803030303030303	0.33734954246999327	0.7632585280312738	0.7196969696969697	0.23067328480185004	0.7282296871216709	0.7323232323232323	0.3108070069222257	0.10249816187078818	0.7671154907328152	0.02606466216817307	0.7657828282828282	0.03115188971565058
1	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.001}	2.0	2.0	1e-06	X	X	X	X	0.001	0.4452530846175245	0.7329520150761832	0.7474747474747475	0.13723275692966877	0.7248894822716352	0.7550505050505051	0.33734954246999327	0.7225275125131732	0.803030303030303	0.3939393939393939	0.7616723736642946	0.797979797979798	0.33734954246999327	0.7833057787122425	0.8131313131313131	0.23888665095164563	0.6984329943825289	0.7247474747474747	0.44219443899559935	0.7358511087649527	0.7702020202020202	0.38978972143455365	0.7498803460559669	0.7550505050505051	0.28721347895177635	0.738821987685049	0.7272727272727273	0.2335496832484569	0.6235790691363448	0.6868686868686869	0.3242758294008606	0.09994915105032853	0.7271912668262372	0.04305759295573757	0.758080808080808	0.03951390407465035
2	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.01}	2.0	2.0	1e-06	X	X	X	X	0.01	0.494949494949495	0.8154476797804094	0.8434343434343434	0.44219443899559935	0.7871833004369067	0.8156565656565656	0.494949494949495	0.815656821344386	0.861111111111111	0.5484315777870906	0.8485072820109502	0.8762626262626263	0.447801930486707	0.8411080472982699	0.8535353535353536	0.28721347895177635	0.7792663968403448	0.7777777777777778	0.447801930486707	0.8090518587137636	0.8156565656565657	0.494949494949495	0.8231275316674567	0.8156565656565656	0.494949494949495	0.8237711538432625	0.8358585858585859	0.447801930486707	0.7773832614923835	0.8333333333333333	0.4601043266992567	0.06938179592851478	0.8120503333428133	0.02440865752574807	0.8328282828282829	0.02819048577634273
3	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.1}	2.0	2.0	1e-06	X	X	X	X	0.1	0.44219443899559935	0.8603837138749868	0.8787878787878789	0.5438483330175762	0.8684969855217268	0.8838383838383839	0.447801930486707	0.8716184219063701	0.8914141414141414	0.494949494949495	0.8847722369022903	0.9015151515151516	0.5584945425171289	0.8715901259154306	0.8838383838383839	0.28721347895177635	0.8114803178386674	0.8181818181818181	0.447801930486707	0.8421962799415603	0.8434343434343434	0.3939393939393939	0.8551063721194665	0.8409090909090908	0.44219443899559935	0.848757716455085	0.8585858585858586	0.44219443899559935	0.8579363337315282	0.8737373737373738	0.4500632421335583	0.07632800477801645	0.857233850420711	0.020288310505144763	0.8674242424242424	0.026303872040403662
4	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1.0}	2.0	2.0	1e-06	X	X	X	X	1.0	0.44219443899559935	0.8603837138749868	0.8787878787878789	0.5438483330175762	0.8684969855217268	0.8838383838383839	0.447801930486707	0.8716184219063701	0.8914141414141414	0.494949494949495	0.8847722369022903	0.9015151515151516	0.5584945425171289	0.8715901259154306	0.8838383838383839	0.28721347895177635	0.8114803178386674	0.8181818181818181	0.447801930486707	0.8421962799415603	0.8434343434343434	0.3939393939393939	0.8551063721194665	0.8409090909090908	0.44219443899559935	0.848757716455085	0.8585858585858586	0.44219443899559935	0.8579363337315282	0.8737373737373738	0.4500632421335583	0.07632800477801645	0.857233850420711	0.020288310505144763	0.8674242424242424	0.026303872040403662
5	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10.0}	2.0	2.0	1e-06	X	X	X	X	10.0	0.44219443899559935	0.8603837138749868	0.8787878787878789	0.5438483330175762	0.8684969855217268	0.8838383838383839	0.447801930486707	0.8716184219063701	0.8914141414141414	0.494949494949495	0.8847722369022903	0.9015151515151516	0.5584945425171289	0.8715901259154306	0.8838383838383839	0.28721347895177635	0.8114803178386674	0.8181818181818181	0.447801930486707	0.8421962799415603	0.8434343434343434	0.3939393939393939	0.8551063721194665	0.8409090909090908	0.44219443899559935	0.848757716455085	0.8585858585858586	0.44219443899559935	0.8579363337315282	0.8737373737373738	0.4500632421335583	0.07632800477801645	0.857233850420711	0.020288310505144763	0.8674242424242424	0.026303872040403662
6	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 100.0}	2.0	2.0	1e-06	X	X	X	X	100.0	0.44219443899559935	0.8603837138749868	0.8787878787878789	0.5438483330175762	0.8684969855217268	0.8838383838383839	0.447801930486707	0.8716184219063701	0.8914141414141414	0.494949494949495	0.8847722369022903	0.9015151515151516	0.5584945425171289	0.8715901259154306	0.8838383838383839	0.28721347895177635	0.8114803178386674	0.8181818181818181	0.447801930486707	0.8421962799415603	0.8434343434343434	0.3939393939393939	0.8551063721194665	0.8409090909090908	0.44219443899559935	0.848757716455085	0.8585858585858586	0.44219443899559935	0.8579363337315282	0.8737373737373738	0.4500632421335583	0.07632800477801645	0.857233850420711	0.020288310505144763	0.8674242424242424	0.026303872040403662
7	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1000.0}	2.0	2.0	1e-06	X	X	X	X	1000.0	0.44219443899559935	0.8603837138749868	0.8787878787878789	0.5438483330175762	0.8684969855217268	0.8838383838383839	0.447801930486707	0.8716184219063701	0.8914141414141414	0.494949494949495	0.8847722369022903	0.9015151515151516	0.5584945425171289	0.8715901259154306	0.8838383838383839	0.28721347895177635	0.8114803178386674	0.8181818181818181	0.447801930486707	0.8421962799415603	0.8434343434343434	0.3939393939393939	0.8551063721194665	0.8409090909090908	0.44219443899559935	0.848757716455085	0.8585858585858586	0.44219443899559935	0.8579363337315282	0.8737373737373738	0.4500632421335583	0.07632800477801645	0.857233850420711	0.020288310505144763	0.8674242424242424	0.026303872040403662
8	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10000.0}	2.0	2.0	1e-06	X	X	X	X	10000.0	0.44219443899559935	0.8603837138749868	0.8787878787878789	0.5438483330175762	0.8684969855217268	0.8838383838383839	0.447801930486707	0.8716184219063701	0.8914141414141414	0.494949494949495	0.8847722369022903	0.9015151515151516	0.5584945425171289	0.8715901259154306	0.8838383838383839	0.28721347895177635	0.8114803178386674	0.8181818181818181	0.447801930486707	0.8421962799415603	0.8434343434343434	0.3939393939393939	0.8551063721194665	0.8409090909090908	0.44219443899559935	0.848757716455085	0.8585858585858586	0.44219443899559935	0.8579363337315282	0.8737373737373738	0.4500632421335583	0.07632800477801645	0.857233850420711	0.020288310505144763	0.8674242424242424	0.026303872040403662
9	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-05, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.0001}	2.0	2.0	1e-05	X	X	X	X	0.0001	0.2844627935584563	0.7648872674672971	0.7398989898989898	0.11816976065812392	0.7315164495310246	0.755050505050505	0.4452530846175245	0.8083152966267002	0.813131313131313	0.38981938376529196	0.750421550032782	0.7702020202020201	0.3379631847096873	0.7835042536387025	0.7916666666666666	0.23466315646534902	0.7615385050539272	0.7525252525252526	0.4452530846175245	0.7869698965407516	0.803030303030303	0.2844627935584563	0.7925134732840226	0.7803030303030303	0.33734954246999327	0.7632585280312738	0.7196969696969697	0.23067328480185004	0.7282296871216709	0.7323232323232323	0.3108070069222257	0.10249816187078818	0.7671154907328152	0.02606466216817307	0.7657828282828282	0.03115188971565058
