	|d|	p-values	significant level
PF3D7_0402400.2o2_48	0.0042893185898922	0.9999999998580894	non_significant
PF3D7_0715000.1o1_1349	-0.0037988032673976	1.2288726964894888e-06	significant
PF3D7_0317100.2o2_5005	-0.0036927993288278	2.471552751411484e-06	significant
PF3D7_0518700.e3s1_3800	-0.0036796376728853	2.6917822622018797e-06	significant
PF3D7_0915800.1o1_2637	-0.0036477808410806	3.3052885271996502e-06	significant
PF3D7_0707800.e1s2_1501	-0.0035230432180402	7.2576425037415e-06	significant
PF3D7_0400800.iso1.exon1.amp1_3008	-0.0035151893161722	7.619039810568663e-06	significant
PF3D7_1438100.2o3_2656	-0.0034950023440202	8.628337484813478e-06	significant
PF3D7_1468100.e2s1_832	-0.0033999401492696	1.5350251469958105e-05	significant
PF3D7_1008100.s3_1478	-0.0033921993485057	1.6076116779501813e-05	significant
PF3D7_0815500.3o5_2688	-0.0033807308145493	1.7211746269112294e-05	significant
PF3D7_1122700.1o1_372	0.0033601860583734	0.999999769112258	non_significant
PF3D7_0516700.2o3_164	-0.0033260085874342	2.376160468728931e-05	significant
PF3D7_1479500.iso1.exon2.amp1_3581	-0.0032189924117832	4.396499622330424e-05	significant
PF3D7_0405400.e2s4_3203	-0.0032043362274812	4.775517816923764e-05	significant
PF3D7_1123200.iso1.exon1.amp1_3335	-0.0031196441438441	7.644072226717873e-05	significant
PF3D7_1428900.iso1.exon1.amp1_seg1_3743	-0.0031087173901263	8.114907675128185e-05	significant
PF3D7_1464700.e1s1_1556	-0.0030699943390439	0.00010012515335828009	significant
PF3D7_1372800.iso1.exon2.amp1_3009	0.0029710374554678	0.9999967797600378	non_significant
PF3D7_0712400.iso1.exon1.amp1_1004	-0.0029687595317779	0.0001712838406396953	significant
PF3D7_1472300.2o9_1380	-0.0029617877778977	0.00017761792162009413	significant
PF3D7_1405200.iso1.exon1.amp1_3269	-0.0029613373705594	0.00017803457441096122	significant
PF3D7_1417200.e1s5_3219	-0.0029582772115106	0.00018088969083386122	significant
PF3D7_1373500.iso1.exon1.amp1_2457	-0.0029229727376998	0.00021707586928453217	significant
PF3D7_1124500.1o1_3341	-0.0028104379503789	0.00038259341489651203	significant
PF3D7_1473100.e2s1_4136	-0.0028090091390755	0.0003853015015613647	significant
PF3D7_1446900.2o3_80	-0.0028086450990592	0.00038599432105885763	significant
PF3D7_0313800.5o5_3034	-0.0027995994646442	0.0004035853215760341	significant
PF3D7_0807500.e2s1_222	-0.0027888145129904	0.0004255301727870155	significant
PF3D7_1365400.1o1_1083	-0.0027871442540139	0.00042902609365526014	significant
PF3D7_0223300.iso1.exon2.amp1_3611	-0.0027654897189948	0.0004768271429745322	significant
PF3D7_0200100.iso1.exon2.amp1_2746	-0.0027478641927851	0.0005193266160993795	significant
PF3D7_0114800.2o2_362	-0.0027456114090462	0.0005250043949012362	significant
PF3D7_0100100.iso1.exon2.amp1_1871	-0.0027455164338476	0.0005252450216477373	significant
PF3D7_1210100.1o1_2968	-0.0027321858447211	0.0005600496368060626	significant
PF3D7_1351800.1.1o1_3609	-0.0026739861357605	0.0007384288349247816	significant
PF3D7_0833300.iso1.exon1.amp1_1870	-0.0026719608749885	0.0007454891610058208	significant
PF3D7_1000200.iso1.exon1.amp1_1575	-0.0026603249089349	0.0007872731867535987	significant
PF3D7_0413300.iso1.exon2.amp1_707	0.0026562715947606	0.9999777290443657	non_significant
PF3D7_1240400.iso1.exon2.amp1_1013	-0.0026302245820828	0.0009055646918603281	significant
PF3D7_1128500.1o1_4665	-0.0026254246087673	0.0009258721676003208	significant
PFB0300c_4064	-0.0026199540979059	0.0009495261782364643	significant
PF3D7_1223600.1o2_4366	0.0026183204914093	0.999972213290796	non_significant
PF3D7_1246300.iso1.exon6.amp1_2708	-0.0026058012789381	0.0010133202587562532	significant
PF3D7_0502100.1o1_4583	-0.0026046617521031	0.001018624057751809	significant
PF3D7_0108800.iso1.exon7.amp1_3509	-0.0026021370739556	0.0010304657374857935	significant
PF3D7_1319900.s2_3115	-0.0025985832231405	0.0010473486955586003	significant
PF3D7_1100400.iso1.exon2.amp1_3590	0.0025958347582659	0.9999683588633232	non_significant
PF3D7_1332600.1o1_1726	-0.0025956396388848	0.0010615242007508212	significant
PF3D7_0316700.2o2_1011	-0.0025779082689475	0.0011507009524177325	significant
PF3D7_0112800.2o2_691	-0.0025539916658152	0.0012818634470511054	significant
PF3D7_1239200.e1s2_625	-0.0025461612080707	0.0013276914744666827	significant
PF3D7_0100600.iso1.exon1.amp1_2163	-0.0025268838169946	0.0014469645386186382	significant
PF3D7_1358400.iso1.exon3.amp1_1213	-0.0025225993354783	0.0014747678748845184	significant
PF3D7_1464000.e1s1_1904	-0.0025000654911216	0.0016291861022595493	significant
PF3D7_0911100.e1s1_5028	-0.0024752922128709	0.0018158398180359069	significant
PF3D7_0810900.1.2o2_2981	-0.0024665819376182	0.0018859551049301658	significant
PF3D7_0729200.2o2_1991	-0.0024599447704126	0.0019410245034613546	significant
PF3D7_1343900.1o1_4649	-0.0024530961008868	0.001999376315992037	significant
PF3D7_0111000.e1s2_1565	-0.0024444667329975	0.002075166036004792	significant
PF3D7_0935600.1o2_3662	0.0024315517408323	0.9999204480261507	non_significant
PF3D7_1212900.e1s1_4151	-0.0024136573520775	0.0023674995609188885	significant
PF3D7_0422500.e1s3_1133	-0.0024135519177792	0.0023685609610753404	significant
PF3D7_1333400.1o1_1669	0.0024094813881643	0.9999102846786222	non_significant
PF3D7_1111800.iso1.exon1.amp1_2132	-0.0024069836399347	0.002435538731700236	significant
PF3D7_1345600.iso1.exon2.amp1_1550	-0.0023874287341467	0.002645208916560486	significant
PF3D7_1121800.s3_3441	-0.0023869595186223	0.0026504343725488096	significant
PF3D7_0935700.2o2_2960	-0.0023838934261718	0.0026848102869755615	significant
PF3D7_1016500.e1s1_3163	-0.0023830704466581	0.002694105513064905	significant
PF3D7_0808200.e1s1_5118	0.002378509087505	0.9998939488938106	non_significant
PF3D7_0219400.iso1.exon2.amp1_1777	-0.0023776846736878	0.002755656349497929	significant
PF3D7_1232600.iso1.exon1.amp1_709	0.0023712171911356	0.9998897160078793	non_significant
PFC0330w_166	-0.00237099655702	0.002833856113561625	significant
PF3D7_0317500.iso1.exon1.amp1_3396	-0.0023683536253098	0.002865306021631794	significant
PF3D7_1314200.e1s3_3855	-0.0023590788545383	0.002978178195232716	significant
