	params	dataselector__P1	dataselector__P2	dataselector__R0	dataselector__R1	dataselector__R2	dataselector__SA	dataselector__SO	svc__C	iteration0_mcc	iteration0_precision_recall_auc	iteration0_roc_auc	iteration1_mcc	iteration1_precision_recall_auc	iteration1_roc_auc	iteration2_mcc	iteration2_precision_recall_auc	iteration2_roc_auc	iteration3_mcc	iteration3_precision_recall_auc	iteration3_roc_auc	iteration4_mcc	iteration4_precision_recall_auc	iteration4_roc_auc	iteration5_mcc	iteration5_precision_recall_auc	iteration5_roc_auc	iteration6_mcc	iteration6_precision_recall_auc	iteration6_roc_auc	iteration7_mcc	iteration7_precision_recall_auc	iteration7_roc_auc	iteration8_mcc	iteration8_precision_recall_auc	iteration8_roc_auc	iteration9_mcc	iteration9_precision_recall_auc	iteration9_roc_auc	mean_mcc	std_mcc	mean_precision_recall_auc	std_precision_recall_auc	mean_roc_auc	std_roc_auc
0	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 0.0001}	2.0	2.0	X	X	X	0.25	-2.0	0.0001	0.0	0.5282581796507235	0.601010101010101	0.0	0.653835519467399	0.6641414141414141	0.0	0.6294556141600821	0.6679292929292929	0.0	0.5498573572682358	0.6035353535353535	0.0	0.5433743869310645	0.6237373737373737	0.0	0.6150319036665337	0.7272727272727272	0.0	0.541929649501824	0.6161616161616161	0.0	0.6306257652870482	0.6767676767676768	0.0	0.4729010907450306	0.5404040404040404	0.0	0.4355524141384279	0.5340909090909091	0.0	0.0	0.5600821880816369	0.07182727368462999	0.6255050505050505	0.06059787636472145
1	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 0.001}	2.0	2.0	X	X	X	0.25	-2.0	0.001	0.0	0.5605306543669715	0.6287878787878788	0.0	0.7486826710906241	0.7651515151515151	0.0	0.6593189235930771	0.7171717171717171	0.0	0.7823217049739237	0.7853535353535354	0.0	0.6874629794046011	0.7222222222222222	0.0	0.6437204959865779	0.7247474747474747	0.0	0.6418154215684485	0.7222222222222222	0.0	0.6943853038119702	0.6893939393939393	0.0	0.5396393139103576	0.6313131313131313	0.0	0.5019365809325416	0.6439393939393939	0.0	0.0	0.6459814049639093	0.08991330693773314	0.703030303030303	0.054137079579238856
2	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 0.01}	2.0	2.0	X	X	X	0.25	-2.0	0.01	0.0	0.5182709255723653	0.5972222222222222	0.0	0.8381064147971335	0.7954545454545454	0.0	0.7145638186982357	0.7323232323232323	0.0	0.6150528695574013	0.6717171717171717	0.0	0.7124645564397438	0.7121212121212122	0.0	0.6468991896942062	0.6818181818181818	0.0	0.6457266681466888	0.7626262626262625	0.0	0.8129402810656876	0.7651515151515151	0.0	0.559395571596911	0.5984848484848484	0.0	0.394589421391551	0.44696969696969696	0.0	0.0	0.6458009716959925	0.13411147977522206	0.676388888888889	0.10483777792849738
3	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 0.1}	2.0	2.0	X	X	X	0.25	-2.0	0.1	0.0	0.4882453184634249	0.5795454545454545	0.0	0.8232112392836785	0.7878787878787878	0.0	0.7340623566049264	0.7398989898989898	0.0	0.6168519058673072	0.6742424242424243	0.0	0.7242433549832482	0.7146464646464646	0.0	0.6420054292417599	0.6843434343434343	0.0	0.652566808213738	0.7702020202020201	0.0	0.811002495077844	0.7651515151515151	0.0	0.552998392283065	0.5934343434343434	0.0	0.391211970955277	0.4406565656565656	0.0	0.0	0.6436399270974269	0.1381675383187329	0.6749999999999999	0.1087736220177133
4	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 1.0}	2.0	2.0	X	X	X	0.25	-2.0	1.0	0.02305714879553582	0.560257178030109	0.5921717171717171	0.3685138655950444	0.853704200388482	0.8106060606060606	0.25362863675089403	0.7335166402826363	0.744949494949495	0.0335012605086404	0.6171348832432928	0.6792929292929293	0.11396057645963793	0.7360543197833436	0.7222222222222222	0.12401215819029754	0.6787254793755136	0.6893939393939394	0.0335012605086404	0.6874648902704776	0.7651515151515151	0.3148000938676784	0.8235858385850534	0.7752525252525253	0.3148000938676784	0.6229430170939656	0.6161616161616161	-0.06677577748708328	0.39812505102778567	0.4343434343434343	0.15129993170569642	0.15092779481136062	0.6711511498080661	0.13210679173189324	0.6829545454545454	0.1113157009659789
5	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 10.0}	2.0	2.0	X	X	X	0.25	-2.0	10.0	0.12401215819029754	0.5931091097730694	0.6439393939393939	0.4271410714851651	0.8326003335807258	0.8156565656565655	0.11241527678823851	0.6951308759030189	0.7196969696969697	0.24466854359793086	0.6620617461918632	0.6919191919191918	0.11241527678823851	0.6808412837361889	0.6994949494949495	0.24466854359793086	0.662033711546013	0.6830808080808081	0.11396057645963793	0.6737515760314926	0.75	0.41785544701867244	0.8501564489890083	0.8055555555555556	0.24466854359793086	0.699344070630902	0.6994949494949495	0.058025885318565944	0.432645240878395	0.5189393939393939	0.20998313228426083	0.13026427003781266	0.6781674397260679	0.11653724027562819	0.7027777777777777	0.08406811384883667
6	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 100.0}	2.0	2.0	X	X	X	0.25	-2.0	100.0	0.12401215819029754	0.5931091097730694	0.6439393939393939	0.4271410714851651	0.8326003335807258	0.8156565656565655	0.11241527678823851	0.6951308759030189	0.7196969696969697	0.24466854359793086	0.6620617461918632	0.6919191919191918	0.11241527678823851	0.6808412837361889	0.6994949494949495	0.24466854359793086	0.662033711546013	0.6830808080808081	0.11396057645963793	0.6737515760314926	0.75	0.41785544701867244	0.8501564489890083	0.8055555555555556	0.24466854359793086	0.699344070630902	0.6994949494949495	0.058025885318565944	0.432645240878395	0.5189393939393939	0.20998313228426083	0.13026427003781266	0.6781674397260679	0.11653724027562819	0.7027777777777777	0.08406811384883667
7	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 1000.0}	2.0	2.0	X	X	X	0.25	-2.0	1000.0	0.12401215819029754	0.5931091097730694	0.6439393939393939	0.4271410714851651	0.8326003335807258	0.8156565656565655	0.11241527678823851	0.6951308759030189	0.7196969696969697	0.24466854359793086	0.6620617461918632	0.6919191919191918	0.11241527678823851	0.6808412837361889	0.6994949494949495	0.24466854359793086	0.662033711546013	0.6830808080808081	0.11396057645963793	0.6737515760314926	0.75	0.41785544701867244	0.8501564489890083	0.8055555555555556	0.24466854359793086	0.699344070630902	0.6994949494949495	0.058025885318565944	0.432645240878395	0.5189393939393939	0.20998313228426083	0.13026427003781266	0.6781674397260679	0.11653724027562819	0.7027777777777777	0.08406811384883667
8	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 10000.0}	2.0	2.0	X	X	X	0.25	-2.0	10000.0	0.12401215819029754	0.5931091097730694	0.6439393939393939	0.4271410714851651	0.8326003335807258	0.8156565656565655	0.11241527678823851	0.6951308759030189	0.7196969696969697	0.24466854359793086	0.6620617461918632	0.6919191919191918	0.11241527678823851	0.6808412837361889	0.6994949494949495	0.24466854359793086	0.662033711546013	0.6830808080808081	0.11396057645963793	0.6737515760314926	0.75	0.41785544701867244	0.8501564489890083	0.8055555555555556	0.24466854359793086	0.699344070630902	0.6994949494949495	0.058025885318565944	0.432645240878395	0.5189393939393939	0.20998313228426083	0.13026427003781266	0.6781674397260679	0.11653724027562819	0.7027777777777777	0.08406811384883667
9	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -1.0, 'svc__C': 0.0001}	2.0	2.0	X	X	X	0.25	-1.0	0.0001	0.0	0.667855376731534	0.75	0.0	0.8243167596692074	0.8068181818181819	0.0	0.7569965776201475	0.7474747474747474	0.0	0.5775827008723989	0.6186868686868687	0.0	0.6564199659397534	0.6679292929292929	0.0	0.6412405100850704	0.6843434343434344	0.0	0.6292142257785532	0.7348484848484849	0.0	0.8338494375259081	0.8005050505050505	0.0	0.7047800446885153	0.7171717171717172	0.0	0.5113250592500449	0.6237373737373738	0.0	0.0	0.6803580658161132	0.10261240969844708	0.7151515151515151	0.06598005863166664
