	params	dataselector__P1	dataselector__P2	dataselector__R0	dataselector__R1	dataselector__R2	dataselector__SA	dataselector__SO	svc__C	iteration0_mcc	iteration0_precision_recall_auc	iteration0_roc_auc	iteration1_mcc	iteration1_precision_recall_auc	iteration1_roc_auc	iteration2_mcc	iteration2_precision_recall_auc	iteration2_roc_auc	iteration3_mcc	iteration3_precision_recall_auc	iteration3_roc_auc	iteration4_mcc	iteration4_precision_recall_auc	iteration4_roc_auc	iteration5_mcc	iteration5_precision_recall_auc	iteration5_roc_auc	iteration6_mcc	iteration6_precision_recall_auc	iteration6_roc_auc	iteration7_mcc	iteration7_precision_recall_auc	iteration7_roc_auc	iteration8_mcc	iteration8_precision_recall_auc	iteration8_roc_auc	iteration9_mcc	iteration9_precision_recall_auc	iteration9_roc_auc	mean_mcc	std_mcc	mean_precision_recall_auc	std_precision_recall_auc	mean_roc_auc	std_roc_auc
0	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 0.0001}	2.0	2.0	X	X	X	0.25	-2.0	0.0001	0.12401215819029754	0.5315490799634583	0.6287878787878788	0.4271410714851651	0.8334269192757326	0.8156565656565656	0.17588161767036212	0.6702457233830624	0.6969696969696971	0.1829534767323246	0.6597616449243706	0.6893939393939394	0.11241527678823851	0.6731916173694172	0.6919191919191919	0.29012942659282975	0.6191563078865003	0.6717171717171717	0.11396057645963793	0.6448661987355229	0.7525252525252525	0.41785544701867244	0.868242221718744	0.8181818181818182	0.24466854359793086	0.6684573450572036	0.6818181818181819	0.058025885318565944	0.4275369886237499	0.5075757575757576	0.21470434798540244	0.12861977720177792	0.6596434046937761	0.12746544385364106	0.6954545454545455	0.09025359136975307
1	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 0.001}	2.0	2.0	X	X	X	0.25	-2.0	0.001	0.12401215819029754	0.5315490799634583	0.6287878787878788	0.4271410714851651	0.8334269192757326	0.8156565656565656	0.17588161767036212	0.6702457233830624	0.6969696969696971	0.1829534767323246	0.6597616449243706	0.6893939393939394	0.11241527678823851	0.6731916173694172	0.6919191919191919	0.29012942659282975	0.6191563078865003	0.6717171717171717	0.11396057645963793	0.6448661987355229	0.7525252525252525	0.41785544701867244	0.868242221718744	0.8181818181818182	0.24466854359793086	0.6684573450572036	0.6818181818181819	0.058025885318565944	0.4275369886237499	0.5075757575757576	0.21470434798540244	0.12861977720177792	0.6596434046937761	0.12746544385364106	0.6954545454545455	0.09025359136975307
2	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 0.01}	2.0	2.0	X	X	X	0.25	-2.0	0.01	0.12401215819029754	0.5315490799634583	0.6287878787878788	0.4271410714851651	0.8334269192757326	0.8156565656565656	0.17588161767036212	0.6702457233830624	0.6969696969696971	0.1829534767323246	0.6597616449243706	0.6893939393939394	0.11241527678823851	0.6731916173694172	0.6919191919191919	0.29012942659282975	0.6191563078865003	0.6717171717171717	0.11396057645963793	0.6448661987355229	0.7525252525252525	0.41785544701867244	0.868242221718744	0.8181818181818182	0.24466854359793086	0.6684573450572036	0.6818181818181819	0.058025885318565944	0.4275369886237499	0.5075757575757576	0.21470434798540244	0.12861977720177792	0.6596434046937761	0.12746544385364106	0.6954545454545455	0.09025359136975307
3	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 0.1}	2.0	2.0	X	X	X	0.25	-2.0	0.1	0.12401215819029754	0.5315490799634583	0.6287878787878788	0.4271410714851651	0.8334269192757326	0.8156565656565656	0.17588161767036212	0.6702457233830624	0.6969696969696971	0.1829534767323246	0.6597616449243706	0.6893939393939394	0.11241527678823851	0.6731916173694172	0.6919191919191919	0.29012942659282975	0.6191563078865003	0.6717171717171717	0.11396057645963793	0.6448661987355229	0.7525252525252525	0.41785544701867244	0.868242221718744	0.8181818181818182	0.24466854359793086	0.6684573450572036	0.6818181818181819	0.058025885318565944	0.4275369886237499	0.5075757575757576	0.21470434798540244	0.12861977720177792	0.6596434046937761	0.12746544385364106	0.6954545454545455	0.09025359136975307
4	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 1.0}	2.0	2.0	X	X	X	0.25	-2.0	1.0	0.12401215819029754	0.5315490799634583	0.6287878787878788	0.4271410714851651	0.8334269192757326	0.8156565656565656	0.17588161767036212	0.6702457233830624	0.6969696969696971	0.1829534767323246	0.6597616449243706	0.6893939393939394	0.11241527678823851	0.6731916173694172	0.6919191919191919	0.29012942659282975	0.6191563078865003	0.6717171717171717	0.11396057645963793	0.6448661987355229	0.7525252525252525	0.41785544701867244	0.868242221718744	0.8181818181818182	0.24466854359793086	0.6684573450572036	0.6818181818181819	0.058025885318565944	0.4275369886237499	0.5075757575757576	0.21470434798540244	0.12861977720177792	0.6596434046937761	0.12746544385364106	0.6954545454545455	0.09025359136975307
5	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 10.0}	2.0	2.0	X	X	X	0.25	-2.0	10.0	0.12401215819029754	0.5315490799634583	0.6287878787878788	0.4271410714851651	0.8334269192757326	0.8156565656565656	0.17588161767036212	0.6702457233830624	0.6969696969696971	0.1829534767323246	0.6597616449243706	0.6893939393939394	0.11241527678823851	0.6731916173694172	0.6919191919191919	0.29012942659282975	0.6191563078865003	0.6717171717171717	0.11396057645963793	0.6448661987355229	0.7525252525252525	0.41785544701867244	0.868242221718744	0.8181818181818182	0.24466854359793086	0.6684573450572036	0.6818181818181819	0.058025885318565944	0.4275369886237499	0.5075757575757576	0.21470434798540244	0.12861977720177792	0.6596434046937761	0.12746544385364106	0.6954545454545455	0.09025359136975307
6	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 100.0}	2.0	2.0	X	X	X	0.25	-2.0	100.0	0.12401215819029754	0.5315490799634583	0.6287878787878788	0.4271410714851651	0.8334269192757326	0.8156565656565656	0.17588161767036212	0.6702457233830624	0.6969696969696971	0.1829534767323246	0.6597616449243706	0.6893939393939394	0.11241527678823851	0.6731916173694172	0.6919191919191919	0.29012942659282975	0.6191563078865003	0.6717171717171717	0.11396057645963793	0.6448661987355229	0.7525252525252525	0.41785544701867244	0.868242221718744	0.8181818181818182	0.24466854359793086	0.6684573450572036	0.6818181818181819	0.058025885318565944	0.4275369886237499	0.5075757575757576	0.21470434798540244	0.12861977720177792	0.6596434046937761	0.12746544385364106	0.6954545454545455	0.09025359136975307
7	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 1000.0}	2.0	2.0	X	X	X	0.25	-2.0	1000.0	0.12401215819029754	0.5315490799634583	0.6287878787878788	0.4271410714851651	0.8334269192757326	0.8156565656565656	0.17588161767036212	0.6702457233830624	0.6969696969696971	0.1829534767323246	0.6597616449243706	0.6893939393939394	0.11241527678823851	0.6731916173694172	0.6919191919191919	0.29012942659282975	0.6191563078865003	0.6717171717171717	0.11396057645963793	0.6448661987355229	0.7525252525252525	0.41785544701867244	0.868242221718744	0.8181818181818182	0.24466854359793086	0.6684573450572036	0.6818181818181819	0.058025885318565944	0.4275369886237499	0.5075757575757576	0.21470434798540244	0.12861977720177792	0.6596434046937761	0.12746544385364106	0.6954545454545455	0.09025359136975307
8	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -2.0, 'svc__C': 10000.0}	2.0	2.0	X	X	X	0.25	-2.0	10000.0	0.12401215819029754	0.5315490799634583	0.6287878787878788	0.4271410714851651	0.8334269192757326	0.8156565656565656	0.17588161767036212	0.6702457233830624	0.6969696969696971	0.1829534767323246	0.6597616449243706	0.6893939393939394	0.11241527678823851	0.6731916173694172	0.6919191919191919	0.29012942659282975	0.6191563078865003	0.6717171717171717	0.11396057645963793	0.6448661987355229	0.7525252525252525	0.41785544701867244	0.868242221718744	0.8181818181818182	0.24466854359793086	0.6684573450572036	0.6818181818181819	0.058025885318565944	0.4275369886237499	0.5075757575757576	0.21470434798540244	0.12861977720177792	0.6596434046937761	0.12746544385364106	0.6954545454545455	0.09025359136975307
9	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 'X', 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 0.25, 'dataselector__SO': -1.0, 'svc__C': 0.0001}	2.0	2.0	X	X	X	0.25	-1.0	0.0001	0.47534331694263005	0.701532059749294	0.7752525252525252	0.5956833971812706	0.8868054727923149	0.845959595959596	0.37692181040762324	0.8361906753870118	0.8005050505050505	0.29012942659282975	0.7446369132084647	0.7487373737373737	0.4061811972299616	0.7960318240665247	0.76010101010101	0.35500323670398953	0.7742718643570704	0.7878787878787878	0.4061811972299616	0.7255448691915298	0.7878787878787878	0.5527707983925666	0.8588982037011579	0.8181818181818181	0.5222329678670935	0.8103574809025682	0.7626262626262627	0.11241527678823851	0.5827773799594365	0.6515151515151515	0.40928626253361655	0.14094771203967185	0.7717046743315372	0.08855814131335728	0.7738636363636364	0.05183589575869751
