	params	dataselector__P1	dataselector__P2	dataselector__R0	dataselector__R1	dataselector__R2	dataselector__SA	dataselector__SO	svc__C	iteration0_mcc	iteration0_precision_recall_auc	iteration0_roc_auc	iteration1_mcc	iteration1_precision_recall_auc	iteration1_roc_auc	iteration2_mcc	iteration2_precision_recall_auc	iteration2_roc_auc	iteration3_mcc	iteration3_precision_recall_auc	iteration3_roc_auc	iteration4_mcc	iteration4_precision_recall_auc	iteration4_roc_auc	iteration5_mcc	iteration5_precision_recall_auc	iteration5_roc_auc	iteration6_mcc	iteration6_precision_recall_auc	iteration6_roc_auc	iteration7_mcc	iteration7_precision_recall_auc	iteration7_roc_auc	iteration8_mcc	iteration8_precision_recall_auc	iteration8_roc_auc	iteration9_mcc	iteration9_precision_recall_auc	iteration9_roc_auc	mean_mcc	std_mcc	mean_precision_recall_auc	std_precision_recall_auc	mean_roc_auc	std_roc_auc
0	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.0001}	2.0	2.0	1e-06	X	X	X	X	0.0001	0.29012942659282975	0.7475820990922322	0.7348484848484849	0.23071238985633716	0.731381958939697	0.7575757575757576	0.47534331694263005	0.7944878801213213	0.8118686868686869	0.3947710169758614	0.7371850225816915	0.7575757575757576	0.29012942659282975	0.6853296926924023	0.7449494949494949	0.28511240114923325	0.7008805048106705	0.7272727272727273	0.3432550190545504	0.7561534035146494	0.7828282828282828	0.35500323670398953	0.859112233726826	0.8409090909090909	0.23067328480185004	0.7136995632876656	0.6818181818181819	0.23067328480185004	0.5882003805255775	0.6565656565656566	0.31258028034719615	0.08018741898988324	0.7314012739292733	0.07076714763006901	0.7496212121212121	0.055210289483036065
1	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.001}	2.0	2.0	1e-06	X	X	X	X	0.001	0.3379631847096873	0.685666255592623	0.7171717171717171	0.2844627935584563	0.6992791605139068	0.73989898989899	0.33734954246999327	0.7134176844336632	0.8005050505050505	0.33734954246999327	0.6768997942485198	0.7702020202020201	0.2844627935584563	0.661401818483417	0.7171717171717171	0.28721347895177635	0.6449392440559012	0.7373737373737373	0.2844627935584563	0.6660329708560966	0.7196969696969697	0.33734954246999327	0.7366291412120229	0.7777777777777778	0.23067328480185004	0.5799786370569316	0.6363636363636364	0.23067328480185004	0.5685142640968947	0.6565656565656566	0.29519602413505125	0.04202576309468346	0.6632758970549977	0.053896627449096415	0.7272727272727273	0.051146321653075116
2	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.01}	2.0	2.0	1e-06	X	X	X	X	0.01	0.4923659639173309	0.7431403886727244	0.7954545454545454	0.44219443899559935	0.7702602955542823	0.7828282828282829	0.494949494949495	0.7416983768490065	0.8358585858585859	0.447801930486707	0.7055736741704459	0.8257575757575758	0.3405405449736225	0.7418224990577708	0.7777777777777778	0.38978972143455365	0.7294548830396242	0.7979797979797979	0.44219443899559935	0.6950073399869992	0.7676767676767676	0.5438483330175762	0.7491560325925651	0.8257575757575757	0.2844627935584563	0.6040530063747606	0.7272727272727273	0.38981938376529196	0.6695175872659757	0.7676767676767677	0.4267967044094232	0.07745717142297422	0.7149684083564154	0.048898815121904624	0.7904040404040403	0.03313976377951098
3	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.1}	2.0	2.0	1e-06	X	X	X	X	0.1	0.4923659639173309	0.7954171375177455	0.8257575757575757	0.44219443899559935	0.8564620793224912	0.8409090909090909	0.494949494949495	0.8275415489107328	0.8686868686868687	0.502518907629606	0.8014663642874877	0.8510101010101011	0.45786489521674534	0.7850863220558559	0.8055555555555556	0.28721347895177635	0.7970646393975016	0.8282828282828283	0.44219443899559935	0.7664621089859271	0.8005050505050505	0.5438483330175762	0.8085194760990908	0.835858585858586	0.38978972143455365	0.6535444081504659	0.7727272727272727	0.38981938376529196	0.7570935633602491	0.787878787878788	0.4442759056873574	0.073774107546771	0.7848657648087549	0.054158013513769365	0.8217171717171716	0.02971750055705891
4	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1.0}	2.0	2.0	1e-06	X	X	X	X	1.0	0.4923659639173309	0.7954171375177455	0.8257575757575757	0.44219443899559935	0.8564620793224912	0.8409090909090909	0.494949494949495	0.8275415489107328	0.8686868686868687	0.502518907629606	0.8014663642874877	0.8510101010101011	0.45786489521674534	0.7850863220558559	0.8055555555555556	0.28721347895177635	0.7970646393975016	0.8282828282828283	0.44219443899559935	0.7664621089859271	0.8005050505050505	0.5438483330175762	0.8085194760990908	0.835858585858586	0.38978972143455365	0.6535444081504659	0.7727272727272727	0.38981938376529196	0.7570935633602491	0.787878787878788	0.4442759056873574	0.073774107546771	0.7848657648087549	0.054158013513769365	0.8217171717171716	0.02971750055705891
5	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10.0}	2.0	2.0	1e-06	X	X	X	X	10.0	0.4923659639173309	0.7954171375177455	0.8257575757575757	0.44219443899559935	0.8564620793224912	0.8409090909090909	0.494949494949495	0.8275415489107328	0.8686868686868687	0.502518907629606	0.8014663642874877	0.8510101010101011	0.45786489521674534	0.7850863220558559	0.8055555555555556	0.28721347895177635	0.7970646393975016	0.8282828282828283	0.44219443899559935	0.7664621089859271	0.8005050505050505	0.5438483330175762	0.8085194760990908	0.835858585858586	0.38978972143455365	0.6535444081504659	0.7727272727272727	0.38981938376529196	0.7570935633602491	0.787878787878788	0.4442759056873574	0.073774107546771	0.7848657648087549	0.054158013513769365	0.8217171717171716	0.02971750055705891
6	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 100.0}	2.0	2.0	1e-06	X	X	X	X	100.0	0.4923659639173309	0.7954171375177455	0.8257575757575757	0.44219443899559935	0.8564620793224912	0.8409090909090909	0.494949494949495	0.8275415489107328	0.8686868686868687	0.502518907629606	0.8014663642874877	0.8510101010101011	0.45786489521674534	0.7850863220558559	0.8055555555555556	0.28721347895177635	0.7970646393975016	0.8282828282828283	0.44219443899559935	0.7664621089859271	0.8005050505050505	0.5438483330175762	0.8085194760990908	0.835858585858586	0.38978972143455365	0.6535444081504659	0.7727272727272727	0.38981938376529196	0.7570935633602491	0.787878787878788	0.4442759056873574	0.073774107546771	0.7848657648087549	0.054158013513769365	0.8217171717171716	0.02971750055705891
7	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1000.0}	2.0	2.0	1e-06	X	X	X	X	1000.0	0.4923659639173309	0.7954171375177455	0.8257575757575757	0.44219443899559935	0.8564620793224912	0.8409090909090909	0.494949494949495	0.8275415489107328	0.8686868686868687	0.502518907629606	0.8014663642874877	0.8510101010101011	0.45786489521674534	0.7850863220558559	0.8055555555555556	0.28721347895177635	0.7970646393975016	0.8282828282828283	0.44219443899559935	0.7664621089859271	0.8005050505050505	0.5438483330175762	0.8085194760990908	0.835858585858586	0.38978972143455365	0.6535444081504659	0.7727272727272727	0.38981938376529196	0.7570935633602491	0.787878787878788	0.4442759056873574	0.073774107546771	0.7848657648087549	0.054158013513769365	0.8217171717171716	0.02971750055705891
8	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10000.0}	2.0	2.0	1e-06	X	X	X	X	10000.0	0.4923659639173309	0.7954171375177455	0.8257575757575757	0.44219443899559935	0.8564620793224912	0.8409090909090909	0.494949494949495	0.8275415489107328	0.8686868686868687	0.502518907629606	0.8014663642874877	0.8510101010101011	0.45786489521674534	0.7850863220558559	0.8055555555555556	0.28721347895177635	0.7970646393975016	0.8282828282828283	0.44219443899559935	0.7664621089859271	0.8005050505050505	0.5438483330175762	0.8085194760990908	0.835858585858586	0.38978972143455365	0.6535444081504659	0.7727272727272727	0.38981938376529196	0.7570935633602491	0.787878787878788	0.4442759056873574	0.073774107546771	0.7848657648087549	0.054158013513769365	0.8217171717171716	0.02971750055705891
9	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-05, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.0001}	2.0	2.0	1e-05	X	X	X	X	0.0001	0.29012942659282975	0.7475820990922322	0.7348484848484849	0.23071238985633716	0.731381958939697	0.7575757575757576	0.47534331694263005	0.7944878801213213	0.8118686868686869	0.3947710169758614	0.7371850225816915	0.7575757575757576	0.29012942659282975	0.6853296926924023	0.7449494949494949	0.28511240114923325	0.7008805048106705	0.7272727272727273	0.3432550190545504	0.7561534035146494	0.7828282828282828	0.35500323670398953	0.859112233726826	0.8409090909090909	0.23067328480185004	0.7136995632876656	0.6818181818181819	0.23067328480185004	0.5882003805255775	0.6565656565656566	0.31258028034719615	0.08018741898988324	0.7314012739292733	0.07076714763006901	0.7496212121212121	0.055210289483036065
