	params	dataselector__P1	dataselector__P2	dataselector__R0	dataselector__R1	dataselector__R2	dataselector__SA	dataselector__SO	svc__C	iteration0_mcc	iteration0_precision_recall_auc	iteration0_roc_auc	iteration1_mcc	iteration1_precision_recall_auc	iteration1_roc_auc	iteration2_mcc	iteration2_precision_recall_auc	iteration2_roc_auc	iteration3_mcc	iteration3_precision_recall_auc	iteration3_roc_auc	iteration4_mcc	iteration4_precision_recall_auc	iteration4_roc_auc	iteration5_mcc	iteration5_precision_recall_auc	iteration5_roc_auc	iteration6_mcc	iteration6_precision_recall_auc	iteration6_roc_auc	iteration7_mcc	iteration7_precision_recall_auc	iteration7_roc_auc	iteration8_mcc	iteration8_precision_recall_auc	iteration8_roc_auc	iteration9_mcc	iteration9_precision_recall_auc	iteration9_roc_auc	mean_mcc	std_mcc	mean_precision_recall_auc	std_precision_recall_auc	mean_roc_auc	std_roc_auc
0	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.0001}	2.0	2.0	1e-06	X	X	X	X	0.0001	0.3432550190545504	0.7342754777348408	0.7045454545454545	0.11816976065812392	0.7116016635589782	0.7222222222222221	0.3947710169758614	0.7709421278844877	0.7954545454545454	0.3947710169758614	0.7607213593879254	0.7462121212121212	0.29012942659282975	0.7370545554245919	0.7424242424242424	0.23466315646534902	0.6888675482374826	0.6742424242424243	0.23466315646534902	0.7659321113099431	0.7752525252525253	0.23067328480185004	0.7841529851587323	0.7714646464646465	0.23067328480185004	0.7392971325941913	0.702020202020202	0.23067328480185004	0.6401762072949215	0.6590909090909091	0.2702442407593475	0.08634304104749212	0.7333021168586095	0.04344582408005553	0.7292929292929293	0.04483538271320795
1	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.001}	2.0	2.0	1e-06	X	X	X	X	0.001	0.3379631847096873	0.6846445034305157	0.7070707070707071	0.2844627935584563	0.7260176578875314	0.755050505050505	0.38981938376529196	0.7231238738005835	0.7803030303030303	0.38981938376529196	0.7518761275357275	0.7853535353535354	0.2335496832484569	0.7480550803127227	0.7929292929292929	0.1297498240269205	0.6726217265968308	0.7095959595959596	0.2844627935584563	0.7397335211361794	0.7626262626262627	0.38978972143455365	0.7235135358373065	0.7449494949494949	0.2335496832484569	0.6916079578238122	0.7070707070707071	0.2844627935584563	0.6127018504017144	0.6641414141414141	0.2957629244874028	0.08432710039101207	0.7073895834762925	0.042784199404283574	0.740909090909091	0.042275673800820764
2	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.01}	2.0	2.0	1e-06	X	X	X	X	0.01	0.3939393939393939	0.7671453177039823	0.803030303030303	0.4923659639173309	0.7808208422655344	0.8106060606060606	0.44219443899559935	0.7682564746952347	0.8232323232323232	0.494949494949495	0.8116510688546517	0.8661616161616161	0.502518907629606	0.8193990251221763	0.8484848484848484	0.33734954246999327	0.7081346645606118	0.7348484848484849	0.447801930486707	0.7889759924741341	0.8005050505050505	0.44219443899559935	0.7719894194780994	0.7878787878787878	0.44219443899559935	0.7281588846812409	0.7676767676767676	0.38978972143455365	0.705137963504612	0.7853535353535354	0.4385298271813878	0.05260304769843509	0.7649669653340277	0.03972008878502957	0.8027777777777777	0.03795260297469666
3	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.1}	2.0	2.0	1e-06	X	X	X	X	0.1	0.3939393939393939	0.8498501349626445	0.8636363636363635	0.4923659639173309	0.8544660828069783	0.861111111111111	0.494949494949495	0.8219838846957244	0.8156565656565656	0.494949494949495	0.831527216815165	0.8207070707070706	0.502518907629606	0.8600937303006774	0.8484848484848485	0.38978972143455365	0.793319779825796	0.7828282828282829	0.447801930486707	0.831817532564858	0.8080808080808082	0.44219443899559935	0.8421829657950117	0.8257575757575757	0.44219443899559935	0.8084946725863768	0.797979797979798	0.44219443899559935	0.8358320451055006	0.8257575757575758	0.45428982242933796	0.04131946008992367	0.8329568045458732	0.020739312437452855	0.825	0.026352313834736452
4	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1.0}	2.0	2.0	1e-06	X	X	X	X	1.0	0.3939393939393939	0.8498501349626445	0.8636363636363635	0.4923659639173309	0.8544660828069783	0.861111111111111	0.494949494949495	0.8219838846957244	0.8156565656565656	0.494949494949495	0.831527216815165	0.8207070707070706	0.502518907629606	0.8600937303006774	0.8484848484848485	0.38978972143455365	0.793319779825796	0.7828282828282829	0.447801930486707	0.831817532564858	0.8080808080808082	0.44219443899559935	0.8421829657950117	0.8257575757575757	0.44219443899559935	0.8084946725863768	0.797979797979798	0.44219443899559935	0.8358320451055006	0.8257575757575758	0.45428982242933796	0.04131946008992367	0.8329568045458732	0.020739312437452855	0.825	0.026352313834736452
5	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10.0}	2.0	2.0	1e-06	X	X	X	X	10.0	0.3939393939393939	0.8498501349626445	0.8636363636363635	0.4923659639173309	0.8544660828069783	0.861111111111111	0.494949494949495	0.8219838846957244	0.8156565656565656	0.494949494949495	0.831527216815165	0.8207070707070706	0.502518907629606	0.8600937303006774	0.8484848484848485	0.38978972143455365	0.793319779825796	0.7828282828282829	0.447801930486707	0.831817532564858	0.8080808080808082	0.44219443899559935	0.8421829657950117	0.8257575757575757	0.44219443899559935	0.8084946725863768	0.797979797979798	0.44219443899559935	0.8358320451055006	0.8257575757575758	0.45428982242933796	0.04131946008992367	0.8329568045458732	0.020739312437452855	0.825	0.026352313834736452
6	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 100.0}	2.0	2.0	1e-06	X	X	X	X	100.0	0.3939393939393939	0.8498501349626445	0.8636363636363635	0.4923659639173309	0.8544660828069783	0.861111111111111	0.494949494949495	0.8219838846957244	0.8156565656565656	0.494949494949495	0.831527216815165	0.8207070707070706	0.502518907629606	0.8600937303006774	0.8484848484848485	0.38978972143455365	0.793319779825796	0.7828282828282829	0.447801930486707	0.831817532564858	0.8080808080808082	0.44219443899559935	0.8421829657950117	0.8257575757575757	0.44219443899559935	0.8084946725863768	0.797979797979798	0.44219443899559935	0.8358320451055006	0.8257575757575758	0.45428982242933796	0.04131946008992367	0.8329568045458732	0.020739312437452855	0.825	0.026352313834736452
7	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1000.0}	2.0	2.0	1e-06	X	X	X	X	1000.0	0.3939393939393939	0.8498501349626445	0.8636363636363635	0.4923659639173309	0.8544660828069783	0.861111111111111	0.494949494949495	0.8219838846957244	0.8156565656565656	0.494949494949495	0.831527216815165	0.8207070707070706	0.502518907629606	0.8600937303006774	0.8484848484848485	0.38978972143455365	0.793319779825796	0.7828282828282829	0.447801930486707	0.831817532564858	0.8080808080808082	0.44219443899559935	0.8421829657950117	0.8257575757575757	0.44219443899559935	0.8084946725863768	0.797979797979798	0.44219443899559935	0.8358320451055006	0.8257575757575758	0.45428982242933796	0.04131946008992367	0.8329568045458732	0.020739312437452855	0.825	0.026352313834736452
8	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10000.0}	2.0	2.0	1e-06	X	X	X	X	10000.0	0.3939393939393939	0.8498501349626445	0.8636363636363635	0.4923659639173309	0.8544660828069783	0.861111111111111	0.494949494949495	0.8219838846957244	0.8156565656565656	0.494949494949495	0.831527216815165	0.8207070707070706	0.502518907629606	0.8600937303006774	0.8484848484848485	0.38978972143455365	0.793319779825796	0.7828282828282829	0.447801930486707	0.831817532564858	0.8080808080808082	0.44219443899559935	0.8421829657950117	0.8257575757575757	0.44219443899559935	0.8084946725863768	0.797979797979798	0.44219443899559935	0.8358320451055006	0.8257575757575758	0.45428982242933796	0.04131946008992367	0.8329568045458732	0.020739312437452855	0.825	0.026352313834736452
9	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-05, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.0001}	2.0	2.0	1e-05	X	X	X	X	0.0001	0.3432550190545504	0.7342754777348408	0.7045454545454545	0.11816976065812392	0.7116016635589782	0.7222222222222221	0.3947710169758614	0.7709421278844877	0.7954545454545454	0.3947710169758614	0.7607213593879254	0.7462121212121212	0.29012942659282975	0.7370545554245919	0.7424242424242424	0.23466315646534902	0.6888675482374826	0.6742424242424243	0.23466315646534902	0.7659321113099431	0.7752525252525253	0.23067328480185004	0.7841529851587323	0.7714646464646465	0.23067328480185004	0.7392971325941913	0.702020202020202	0.23067328480185004	0.6401762072949215	0.6590909090909091	0.2702442407593475	0.08634304104749212	0.7333021168586095	0.04344582408005553	0.7292929292929293	0.04483538271320795
